100_Mari_fem
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CASTRO DE LA FUENTE, UXIA",11609,"ARIAS PACHECO, ELENA",11869,7.274074074074074,51.20987654320987,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
2,"CASTRO DE LA FUENTE, UXIA",11609,"GUDÍN PÉREZ, ANDREA",12000,6.674074074074074,35.80246913580247,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
3,"ARIAS PACHECO, ELENA",11869,"GUDÍN PÉREZ, ANDREA",12000,6.444444444444445,35.80246913580247,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
4,"CASTRO DE LA FUENTE, UXIA",11609,"MARTINEZ MORAN, ESTHER",12132,6.274074074074074,33.33333333333333,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
5,"CASTRO DE LA FUENTE, UXIA",11609,"GONZALEZ LOSADA, ANTIA",12395,6.074074074074074,32.592592592592595,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
6,"ARIAS PACHECO, ELENA",11869,"MARTINEZ MORAN, ESTHER",12132,6.044444444444444,33.33333333333333,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
7,"ARIAS PACHECO, ELENA",11869,"GONZALEZ LOSADA, ANTIA",12395,5.844444444444444,32.2962962962963,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
8,"CASTRO DE LA FUENTE, UXIA",11609,"LEDO ESCUDERO, MARA",13084,5.674074074074074,29.629629629629626,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
9,"ARIAS PACHECO, ELENA",11869,"LEDO ESCUDERO, MARA",13084,5.444444444444445,28.000000000000004,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
10,"GUDÍN PÉREZ, ANDREA",12000,"MARTINEZ MORAN, ESTHER",12132,5.4,33.33333333333333,3,"(('VILARNOVO SUÁREZ, NOELIA', 10990.0), ('OUVIÑA PICOS, NADIUSKA', 11090.0))","(('RODRIGUEZ RODRIGUEZ, NINA', 10719.0), ('ALVAREZ PAZOS, MARIA', 11060.0))"
