Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",11308,"GUDÍN PÉREZ, ANDREA",11622,7.303703703703704,58.22222222222222,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
2,"GONZALEZ BLANCO, PATRICIA",11308,"GARCIA VAZQUEZ, MARTA",11674,6.9037037037037035,49.629629629629626,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
3,"GONZALEZ BLANCO, PATRICIA",11308,"CASTRO DE LA FUENTE, UXIA",11686,6.703703703703703,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
4,"GONZALEZ BLANCO, PATRICIA",11308,"MARTINEZ MORAN, ESTHER",11718,6.703703703703703,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
5,"GONZALEZ BLANCO, PATRICIA",11308,"LEDO ESCUDERO, MARA",11984,6.703703703703703,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
6,"GONZALEZ BLANCO, PATRICIA",11308,"VILA GONZALEZ, MARTINA",12017,6.703703703703703,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
7,"GUDÍN PÉREZ, ANDREA",11622,"GARCIA VAZQUEZ, MARTA",11674,6.222222222222222,38.370370370370374,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
8,"GUDÍN PÉREZ, ANDREA",11622,"CASTRO DE LA FUENTE, UXIA",11686,6.022222222222222,33.33333333333333,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
9,"GUDÍN PÉREZ, ANDREA",11622,"MARTINEZ MORAN, ESTHER",11718,6.022222222222222,33.33333333333333,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
10,"GUDÍN PÉREZ, ANDREA",11622,"LEDO ESCUDERO, MARA",11984,6.022222222222222,33.33333333333333,3,"(('GARCIA GARAY, MACARENA', 10893.0), ('OUVIÑA PICOS, NADIUSKA', 11031.0))","(('BLANCO ROUCO, CARMEN', 10496.0), ('ALVAREZ PAZOS, MARIA', 10778.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"GARCIA GARAY, MACARENA, OUVIÑA PICOS, NADIUSKA",10.422222222222222,"10893.0, 11031.0"
2,"GARCIA GARAY, MACARENA, PENSADO PARADA, SABELA",10.422222222222222,"10893.0, 11116.0"
3,"OUVIÑA PICOS, NADIUSKA, PENSADO PARADA, SABELA",9.733333333333333,"11031.0, 11116.0"
4,"GARCIA GARAY, MACARENA, VILARNOVO SUÁREZ, NOELIA",9.536507936507936,"10893.0, 11571.0"
5,"OUVIÑA PICOS, NADIUSKA, VILARNOVO SUÁREZ, NOELIA",8.847619047619048,"11031.0, 11571.0"
6,"PENSADO PARADA, SABELA, VILARNOVO SUÁREZ, NOELIA",8.847619047619048,"11116.0, 11571.0"
7,"GARCIA GARAY, MACARENA, BARREIRO CASTRO, UXIA",7.222222222222222,"10893.0, 12126.0"
8,"GARCIA GARAY, MACARENA, OZORES CHOUZA, LARA",7.222222222222222,"10893.0, 12190.0"
9,"GARCIA GARAY, MACARENA, TUBÍO CADAVAL, UXIA",7.222222222222222,"10893.0, 12219.0"
10,"GARCIA GARAY, MACARENA, GONZÁLEZ OJEA, CARMEN",7.222222222222222,"10893.0, 12228.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"BLANCO ROUCO, CARMEN, ALVAREZ PAZOS, MARIA",12.0,"10496.0, 10778.0"
2,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",11.8,"10496.0, 10982.0"
3,"BLANCO ROUCO, CARMEN, RODRIGUEZ RODRIGUEZ, NINA",11.8,"10496.0, 11021.0"
4,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",11.8,"10778.0, 10982.0"
5,"ALVAREZ PAZOS, MARIA, RODRIGUEZ RODRIGUEZ, NINA",11.8,"10778.0, 11021.0"
6,"BLANCO ROUCO, CARMEN, LORENZO ALFAGEME, SOFIA TERESA",11.4,"10496.0, 11163.0"
7,"ALVAREZ PAZOS, MARIA, LORENZO ALFAGEME, SOFIA TERESA",11.4,"10778.0, 11163.0"
8,"GONZALEZ GONZALEZ, IARA, RODRIGUEZ RODRIGUEZ, NINA",11.4,"10982.0, 11021.0"
9,"BLANCO ROUCO, CARMEN, VAZQUEZ NAVARRO, SYRA",11.114285714285714,"10496.0, 11554.0"
10,"BLANCO ROUCO, CARMEN, NUÑEZ PARDO, LAURA",11.114285714285714,"10496.0, 11562.0"
