Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",10209,"GUDÍN PÉREZ, ANDREA",10546,8.773333333333333,82.12345679012346,4,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
2,"GONZALEZ BLANCO, PATRICIA",10209,"MARTINEZ MORAN, ESTHER",10766,7.773333333333333,77.03703703703704,4,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
3,"GONZALEZ BLANCO, PATRICIA",10209,"ARIAS PACHECO, ELENA",10873,7.373333333333333,73.62962962962963,4,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
4,"GONZALEZ BLANCO, PATRICIA",10209,"LEDO ESCUDERO, MARA",11069,6.973333333333334,69.62962962962963,4,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
5,"GUDÍN PÉREZ, ANDREA",10546,"MARTINEZ MORAN, ESTHER",10766,6.441481481481482,60.49382716049383,3,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
6,"GUDÍN PÉREZ, ANDREA",10546,"ARIAS PACHECO, ELENA",10873,6.0414814814814815,53.925925925925924,3,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
7,"GUDÍN PÉREZ, ANDREA",10546,"LEDO ESCUDERO, MARA",11069,5.641481481481481,43.20987654320987,3,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
8,"MARTINEZ MORAN, ESTHER",10766,"ARIAS PACHECO, ELENA",10873,5.0,31.11111111111111,3,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
9,"MARTINEZ MORAN, ESTHER",10766,"LEDO ESCUDERO, MARA",11069,4.6,20.0,3,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
10,"ARIAS PACHECO, ELENA",10873,"LEDO ESCUDERO, MARA",11069,4.2,11.11111111111111,3,"(('OUVIÑA PICOS, NADIUSKA', 10026.0), ('VILARNOVO SUÁREZ, NOELIA', 10508.0))","(('ALVAREZ PAZOS, MARIA', 5951.0), ('RODRIGUEZ RODRIGUEZ, NINA', 10029.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"OUVIÑA PICOS, NADIUSKA, VILARNOVO SUÁREZ, NOELIA",10.4,"10026.0, 10508.0"
2,"OUVIÑA PICOS, NADIUSKA, TUBÍO CADAVAL, UXIA",9.2,"10026.0, 10621.0"
3,"OUVIÑA PICOS, NADIUSKA, SÁNCHEZ TOJA, CANDELA",8.8,"10026.0, 10734.0"
4,"OUVIÑA PICOS, NADIUSKA, OZORES CHOUZA, LARA",8.4,"10026.0, 10791.0"
5,"OUVIÑA PICOS, NADIUSKA, PÉREZ LORENZO, CELIA",8.4,"10026.0, 10795.0"
6,"OUVIÑA PICOS, NADIUSKA, RAMOS MÍGUEZ, LEYRE",8.0,"10026.0, 10966.0"
7,"OUVIÑA PICOS, NADIUSKA, GARCÍA ESPAÑA, ELENA",8.0,"10026.0, 10995.0"
8,"OUVIÑA PICOS, NADIUSKA, GUILLÁN DEIRA, ELSA",7.6,"10026.0, 11086.0"
9,"OUVIÑA PICOS, NADIUSKA, GONZÁLEZ OJEA, CARMEN",7.6,"10026.0, 11246.0"
10,"VILARNOVO SUÁREZ, NOELIA, TUBÍO CADAVAL, UXIA",7.6,"10508.0, 10621.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"ALVAREZ PAZOS, MARIA, RODRIGUEZ RODRIGUEZ, NINA",11.8,"5951.0, 10029.0"
2,"ALVAREZ PAZOS, MARIA, BLANCO ROUCO, CARMEN",11.8,"5951.0, 10178.0"
3,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",11.4,"5951.0, 10346.0"
4,"RODRIGUEZ RODRIGUEZ, NINA, BLANCO ROUCO, CARMEN",11.4,"10029.0, 10178.0"
5,"ALVAREZ PAZOS, MARIA, IGLESIAS ALLICA, MALENA",11.2,"5951.0, 10509.0"
6,"ALVAREZ PAZOS, MARIA, GONZALEZ PIÑEIRO, LAURA",11.2,"5951.0, 10525.0"
7,"ALVAREZ PAZOS, MARIA, TEIJEIRO SABORIDO, CAYETANA",11.2,"5951.0, 10525.0"
8,"RODRIGUEZ RODRIGUEZ, NINA, GONZALEZ GONZALEZ, IARA",11.0,"10029.0, 10346.0"
9,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",11.0,"10178.0, 10346.0"
10,"ALVAREZ PAZOS, MARIA, LORENZO ALFAGEME, SOFIA TERESA",10.8,"5951.0, 10572.0"
