Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",23443,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,9.044444444444444,76.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
2,"CONDE VARELA, DAVID",23443,"MARTINEZ ARGIZ, DAVID",25669,8.444444444444445,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"MARTINEZ ARGIZ, DAVID",25669,7.881481481481481,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
4,"CONDE VARELA, DAVID",23443,"PONTON RODRIGUEZ, JAVIER",32138,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
5,"CONDE VARELA, DAVID",23443,"LOSADA TORRES, ISAAC",32288,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
6,"CONDE VARELA, DAVID",23443,"REGUEIRA MOURE, ANDER",33788,7.044444444444444,63.55555555555556,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
7,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"PONTON RODRIGUEZ, JAVIER",32138,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"LOSADA TORRES, ISAAC",32288,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
9,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"REGUEIRA MOURE, ANDER",33788,6.481481481481482,59.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
10,"MARTINEZ ARGIZ, DAVID",25669,"PONTON RODRIGUEZ, JAVIER",32138,6.0814814814814815,60.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"PÉREZ LORENZO, MANUEL, MARTINEZ CAMPAÑA, MARIO",9.0,"22432.0, 30070.0"
2,"PÉREZ LORENZO, MANUEL, CAROU VIDELA, MARCOS",8.6,"22432.0, 30925.0"
3,"PÉREZ LORENZO, MANUEL, BARCALA RIVEIRO, BRAIS",7.933333333333334,"22432.0, 33227.0"
4,"PÉREZ LORENZO, MANUEL, ABELLEIRA GÓMEZ, MIGUEL A.",7.6,"22432.0, 34819.0"
5,"PÉREZ LORENZO, MANUEL, MAYAN POUSO, ALEJANDRO",7.6,"22432.0, 53287.0"
6,"MARTINEZ CAMPAÑA, MARIO, CAROU VIDELA, MARCOS",5.404444444444445,"30070.0, 30925.0"
7,"MARTINEZ CAMPAÑA, MARIO, BARCALA RIVEIRO, BRAIS",4.737777777777778,"30070.0, 33227.0"
8,"MARTINEZ CAMPAÑA, MARIO, ABELLEIRA GÓMEZ, MIGUEL A.",4.404444444444445,"30070.0, 34819.0"
9,"MARTINEZ CAMPAÑA, MARIO, MAYAN POUSO, ALEJANDRO",4.404444444444445,"30070.0, 53287.0"
10,"CAROU VIDELA, MARCOS, BARCALA RIVEIRO, BRAIS",4.333333333333333,"30925.0, 33227.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"MENDEZ PUGA, MARIO, BOUZA PADRON, ADRIAN",11.666666666666666,"22270.0, 22511.0"
2,"MENDEZ PUGA, MARIO, GONZALEZ PAVON, XIAN",11.666666666666666,"22270.0, 23101.0"
3,"MENDEZ PUGA, MARIO, ALONSO VIDAL, TEO",11.333333333333334,"22270.0, 23534.0"
4,"MENDEZ PUGA, MARIO, PASTORIZA SANTACLARA, JORGE",11.333333333333334,"22270.0, 23873.0"
5,"MENDEZ PUGA, MARIO, FIGUEROA FERNANDEZ, GABRIEL",11.0,"22270.0, 24365.0"
6,"MENDEZ PUGA, MARIO, RODRIGUEZ VIEITEZ, HUGO",11.0,"22270.0, 24642.0"
7,"MENDEZ PUGA, MARIO, GONZALEZ PAVON, XABIER",11.0,"22270.0, 25292.0"
8,"BOUZA PADRON, ADRIAN, GONZALEZ PAVON, XIAN",11.0,"22511.0, 23101.0"
9,"BOUZA PADRON, ADRIAN, ALONSO VIDAL, TEO",10.666666666666666,"22511.0, 23534.0"
10,"BOUZA PADRON, ADRIAN, PASTORIZA SANTACLARA, JORGE",10.666666666666666,"22511.0, 23873.0"
