Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CASTRO DE LA FUENTE, UXIA",24143,"PRATS MOREIRAS, XIMENA",24470,7.482962962962963,66.96296296296296,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
2,"CASTRO DE LA FUENTE, UXIA",24143,"MARTINEZ MORAN, ESTHER",24517,7.282962962962963,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
3,"CASTRO DE LA FUENTE, UXIA",24143,"ARIAS PACHECO, ELENA",24648,7.282962962962963,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
4,"CASTRO DE LA FUENTE, UXIA",24143,"LEDO ESCUDERO, MARA",24707,7.282962962962963,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
5,"CASTRO DE LA FUENTE, UXIA",24143,"GARCIA VAZQUEZ, MARTA",24849,6.882962962962963,62.22222222222222,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
6,"PRATS MOREIRAS, XIMENA",24470,"MARTINEZ MORAN, ESTHER",24517,6.813827160493827,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
7,"PRATS MOREIRAS, XIMENA",24470,"ARIAS PACHECO, ELENA",24648,6.813827160493827,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
8,"PRATS MOREIRAS, XIMENA",24470,"LEDO ESCUDERO, MARA",24707,6.813827160493827,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
9,"MARTINEZ MORAN, ESTHER",24517,"ARIAS PACHECO, ELENA",24648,6.6,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
10,"MARTINEZ MORAN, ESTHER",24517,"LEDO ESCUDERO, MARA",24707,6.6,64.19753086419753,3,"(('OUVIÑA PICOS, NADIUSKA', 23160.0), ('GARCIA GARAY, MACARENA', 23600.0))","(('BLANCO ROUCO, CARMEN', 21689.0), ('ALVAREZ PAZOS, MARIA', 22772.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"OUVIÑA PICOS, NADIUSKA, GARCIA GARAY, MACARENA",10.622222222222222,"23160.0, 23600.0"
2,"OUVIÑA PICOS, NADIUSKA, VILARNOVO SUÁREZ, NOELIA",8.11111111111111,"23160.0, 24719.0"
3,"OUVIÑA PICOS, NADIUSKA, TUBÍO CADAVAL, UXIA",7.888888888888889,"23160.0, 24925.0"
4,"OUVIÑA PICOS, NADIUSKA, GONZÁLEZ OJEA, CARMEN",7.888888888888889,"23160.0, 25273.0"
5,"OUVIÑA PICOS, NADIUSKA, BARREIRO CASTRO, UXIA",7.888888888888889,"23160.0, 25371.0"
6,"GARCIA GARAY, MACARENA, VILARNOVO SUÁREZ, NOELIA",7.7555555555555555,"23600.0, 24719.0"
7,"OUVIÑA PICOS, NADIUSKA, GARCÍA ESPAÑA, ELENA",7.666666666666667,"23160.0, 25579.0"
8,"GARCIA GARAY, MACARENA, TUBÍO CADAVAL, UXIA",7.533333333333333,"23600.0, 24925.0"
9,"GARCIA GARAY, MACARENA, GONZÁLEZ OJEA, CARMEN",7.533333333333333,"23600.0, 25273.0"
10,"GARCIA GARAY, MACARENA, BARREIRO CASTRO, UXIA",7.533333333333333,"23600.0, 25371.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"BLANCO ROUCO, CARMEN, ALVAREZ PAZOS, MARIA",12.0,"21689.0, 22772.0"
2,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",11.8,"21689.0, 23225.0"
3,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",11.8,"22772.0, 23225.0"
4,"BLANCO ROUCO, CARMEN, PIÑEIRO FERNANDEZ, ANTIA",11.6,"21689.0, 23609.0"
5,"BLANCO ROUCO, CARMEN, RODRIGUEZ VIEITEZ, ALEJANDRA",11.6,"21689.0, 23996.0"
6,"BLANCO ROUCO, CARMEN, ESTEVEZ BASTERO, EVA",11.6,"21689.0, 24123.0"
7,"ALVAREZ PAZOS, MARIA, PIÑEIRO FERNANDEZ, ANTIA",11.6,"22772.0, 23609.0"
8,"ALVAREZ PAZOS, MARIA, RODRIGUEZ VIEITEZ, ALEJANDRA",11.6,"22772.0, 23996.0"
9,"ALVAREZ PAZOS, MARIA, ESTEVEZ BASTERO, EVA",11.6,"22772.0, 24123.0"
10,"BLANCO ROUCO, CARMEN, NUÑEZ PARDO, LAURA",11.377777777777778,"21689.0, 24158.0"
