Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GUDÍN PÉREZ, ANDREA",24072,"ARIAS PACHECO, ELENA",24731,6.882962962962963,62.22222222222222,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
2,"GUDÍN PÉREZ, ANDREA",24072,"CASTRO DE LA FUENTE, UXIA",24816,6.882962962962963,62.22222222222222,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
3,"GUDÍN PÉREZ, ANDREA",24072,"MARTINEZ MORAN, ESTHER",24875,6.882962962962963,62.22222222222222,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
4,"GUDÍN PÉREZ, ANDREA",24072,"GONZALEZ LOSADA, ANTIA",30399,6.082962962962963,54.81481481481482,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
5,"GUDÍN PÉREZ, ANDREA",24072,"GARCIA VAZQUEZ, MARTA",30562,5.882962962962963,51.11111111111111,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
6,"ARIAS PACHECO, ELENA",24731,"CASTRO DE LA FUENTE, UXIA",24816,5.8,46.666666666666664,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
7,"ARIAS PACHECO, ELENA",24731,"MARTINEZ MORAN, ESTHER",24875,5.8,46.666666666666664,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
8,"CASTRO DE LA FUENTE, UXIA",24816,"MARTINEZ MORAN, ESTHER",24875,5.8,46.666666666666664,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
9,"ARIAS PACHECO, ELENA",24731,"GONZALEZ LOSADA, ANTIA",30399,5.0,33.33333333333333,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
10,"CASTRO DE LA FUENTE, UXIA",24816,"GONZALEZ LOSADA, ANTIA",30399,5.0,33.33333333333333,3,"(('VILARNOVO SUÁREZ, NOELIA', 23679.0), ('OUVIÑA PICOS, NADIUSKA', 23765.0))","(('ALVAREZ PAZOS, MARIA', 23095.0), ('RODRIGUEZ RODRIGUEZ, NINA', 23185.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"VILARNOVO SUÁREZ, NOELIA, OUVIÑA PICOS, NADIUSKA",10.266666666666667,"23679.0, 23765.0"
2,"VILARNOVO SUÁREZ, NOELIA, SÁNCHEZ TOJA, CANDELA",8.533333333333333,"23679.0, 24519.0"
3,"OUVIÑA PICOS, NADIUSKA, SÁNCHEZ TOJA, CANDELA",8.533333333333333,"23765.0, 24519.0"
4,"VILARNOVO SUÁREZ, NOELIA, GONZÁLEZ OJEA, CARMEN",7.533333333333333,"23679.0, 25161.0"
5,"VILARNOVO SUÁREZ, NOELIA, TUBÍO CADAVAL, UXIA",7.533333333333333,"23679.0, 25163.0"
6,"VILARNOVO SUÁREZ, NOELIA, PÉREZ LORENZO, CELIA",7.533333333333333,"23679.0, 25275.0"
7,"VILARNOVO SUÁREZ, NOELIA, OZORES CHOUZA, LARA",7.533333333333333,"23679.0, 30139.0"
8,"OUVIÑA PICOS, NADIUSKA, GONZÁLEZ OJEA, CARMEN",7.533333333333333,"23765.0, 25161.0"
9,"OUVIÑA PICOS, NADIUSKA, TUBÍO CADAVAL, UXIA",7.533333333333333,"23765.0, 25163.0"
10,"OUVIÑA PICOS, NADIUSKA, PÉREZ LORENZO, CELIA",7.533333333333333,"23765.0, 25275.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"ALVAREZ PAZOS, MARIA, RODRIGUEZ RODRIGUEZ, NINA",12.0,"23095.0, 23185.0"
2,"ALVAREZ PAZOS, MARIA, BLANCO ROUCO, CARMEN",12.0,"23095.0, 23647.0"
3,"RODRIGUEZ RODRIGUEZ, NINA, BLANCO ROUCO, CARMEN",12.0,"23185.0, 23647.0"
4,"ALVAREZ PAZOS, MARIA, GONZALEZ PIÑEIRO, LAURA",11.6,"23095.0, 23906.0"
5,"ALVAREZ PAZOS, MARIA, PIÑEIRO FERNANDEZ, ANTIA",11.6,"23095.0, 23908.0"
6,"ALVAREZ PAZOS, MARIA, VAZQUEZ NAVARRO, SYRA",11.6,"23095.0, 24013.0"
7,"RODRIGUEZ RODRIGUEZ, NINA, GONZALEZ PIÑEIRO, LAURA",11.6,"23185.0, 23906.0"
8,"RODRIGUEZ RODRIGUEZ, NINA, PIÑEIRO FERNANDEZ, ANTIA",11.6,"23185.0, 23908.0"
9,"RODRIGUEZ RODRIGUEZ, NINA, VAZQUEZ NAVARRO, SYRA",11.6,"23185.0, 24013.0"
10,"BLANCO ROUCO, CARMEN, GONZALEZ PIÑEIRO, LAURA",11.6,"23647.0, 23906.0"
