Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"VALCARCE DOMINGUEZ, PABLO",20012,"PONTON RODRIGUEZ, JAVIER",20038,10.297777777777778,91.35802469135803,5,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
2,"VALCARCE DOMINGUEZ, PABLO",20012,"BALLESTER IBAÑEZ, EDGAR",20615,8.697777777777778,65.33333333333333,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
3,"PONTON RODRIGUEZ, JAVIER",20038,"BALLESTER IBAÑEZ, EDGAR",20615,8.697777777777778,65.33333333333333,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
4,"VALCARCE DOMINGUEZ, PABLO",20012,"CONDE VARELA, DAVID",20973,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
5,"VALCARCE DOMINGUEZ, PABLO",20012,"PONTON RODRIGUEZ, JUAN",21157,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
6,"PONTON RODRIGUEZ, JAVIER",20038,"CONDE VARELA, DAVID",20973,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
7,"PONTON RODRIGUEZ, JAVIER",20038,"PONTON RODRIGUEZ, JUAN",21157,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
8,"VALCARCE DOMINGUEZ, PABLO",20012,"SUAREZ FERNÁNDEZ, SANTIAGO",21323,7.497777777777777,60.14814814814815,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
9,"PONTON RODRIGUEZ, JAVIER",20038,"SUAREZ FERNÁNDEZ, SANTIAGO",21323,7.497777777777777,60.14814814814815,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
10,"VALCARCE DOMINGUEZ, PABLO",20012,"ARIAS FRANCO, ODEI",21621,7.297777777777778,59.7037037037037,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"SANLÉS DIESTE, HUGO, PÉREZ LORENZO, MANUEL",11.4,"15632.0, 15769.0"
2,"SANLÉS DIESTE, HUGO, LAGES BRION, ALEXANDRE",10.028571428571428,"15632.0, 20299.0"
3,"PÉREZ LORENZO, MANUEL, LAGES BRION, ALEXANDRE",10.028571428571428,"15769.0, 20299.0"
4,"SANLÉS DIESTE, HUGO, GONZALEZ MARIÑO, JORGE",9.82857142857143,"15632.0, 20450.0"
5,"PÉREZ LORENZO, MANUEL, GONZALEZ MARIÑO, JORGE",9.82857142857143,"15769.0, 20450.0"
6,"SANLÉS DIESTE, HUGO, HERBON YAÑEZ, YAGO",8.742857142857142,"15632.0, 20884.0"
7,"PÉREZ LORENZO, MANUEL, HERBON YAÑEZ, YAGO",8.742857142857142,"15769.0, 20884.0"
8,"SANLÉS DIESTE, HUGO, ABELLEIRA GÓMEZ, MIGUEL A.",8.17142857142857,"15632.0, 21167.0"
9,"SANLÉS DIESTE, HUGO, VALIÑO RODRIGUEZ, ALEJANDRO",8.17142857142857,"15632.0, 21314.0"
10,"PÉREZ LORENZO, MANUEL, ABELLEIRA GÓMEZ, MIGUEL A.",8.17142857142857,"15769.0, 21167.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"MENDEZ PUGA, MARIO, ALONSO VIDAL, TEO",11.028571428571428,"15280.0, 20071.0"
2,"MENDEZ PUGA, MARIO, BOUZA PADRON, ADRIAN",11.028571428571428,"15280.0, 20122.0"
3,"MENDEZ PUGA, MARIO, PASTORIZA SANTACLARA, JORGE",11.028571428571428,"15280.0, 20193.0"
4,"MENDEZ PUGA, MARIO, MASSO ROIG, MARTIN",11.028571428571428,"15280.0, 20254.0"
5,"MENDEZ PUGA, MARIO, RODRIGUEZ VIEITEZ, HUGO",10.82857142857143,"15280.0, 20442.0"
6,"MENDEZ PUGA, MARIO, GONZALEZ PAVON, XIAN",10.628571428571428,"15280.0, 20582.0"
7,"MENDEZ PUGA, MARIO, CASTRO GARCIA, PEDRO",10.342857142857143,"15280.0, 20680.0"
8,"MENDEZ PUGA, MARIO, PIÑEIRO RODRIGUEZ, SAMUEL",10.342857142857143,"15280.0, 20750.0"
9,"MENDEZ PUGA, MARIO, GONZÁLEZ BORGES, DAVID",10.342857142857143,"15280.0, 20769.0"
10,"ALONSO VIDAL, TEO, BOUZA PADRON, ADRIAN",9.353439153439153,"20071.0, 20122.0"
