Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",22000,"GUDÍN PÉREZ, ANDREA",22030,8.807407407407407,87.1111111111111,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
2,"GONZALEZ BLANCO, PATRICIA",22000,"LEDO ESCUDERO, MARA",22527,7.407407407407407,62.22222222222222,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
3,"LEDO ESCUDERO, MARA",22527,"GUDÍN PÉREZ, ANDREA",22030,7.407407407407407,62.22222222222222,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
4,"GONZALEZ BLANCO, PATRICIA",22000,"MARTINEZ MORAN, ESTHER",22660,7.207407407407407,60.74074074074074,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
5,"GUDÍN PÉREZ, ANDREA",22030,"MARTINEZ MORAN, ESTHER",22660,7.207407407407407,60.74074074074074,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
6,"GONZALEZ BLANCO, PATRICIA",22000,"ARIAS PACHECO, ELENA",23466,6.407407407407407,51.85185185185185,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
7,"GONZALEZ BLANCO, PATRICIA",22000,"CASTRO DE LA FUENTE, ALLA",23413,6.407407407407407,51.85185185185185,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
8,"GUDÍN PÉREZ, ANDREA",22030,"ARIAS PACHECO, ELENA",23466,6.407407407407407,51.85185185185185,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
9,"GUDÍN PÉREZ, ANDREA",22030,"CASTRO DE LA FUENTE, ALLA",23413,6.407407407407407,51.85185185185185,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
10,"GONZALEZ BLANCO, PATRICIA",22000,"CASTRO DE LA FUENTE, UXIA",23519,6.207407407407407,48.888888888888886,3,"(('OUVIÑA PICOS, NADIUSKA', 21273.0), ('VILARNOVO SUÁREZ, NOELIA', 21862.0))","(('ALVAREZ PAZOS, MARIA', 20850.0), ('RODRIGUEZ RODRIGUEZ, NINA', 21003.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"OUVIÑA PICOS, NADIUSKA, VILARNOVO SUÁREZ, NOELIA",10.066666666666666,"21273.0, 21862.0"
2,"OUVIÑA PICOS, NADIUSKA, SÁNCHEZ TOJA, CANDELA",9.495238095238095,"21273.0, 22080.0"
3,"VILARNOVO SUÁREZ, NOELIA, SÁNCHEZ TOJA, CANDELA",9.161904761904761,"21862.0, 22080.0"
4,"OUVIÑA PICOS, NADIUSKA, PÉREZ LORENZO, CELIA",8.00952380952381,"21273.0, 22584.0"
5,"OUVIÑA PICOS, NADIUSKA, OZORES CHOUZA, LARA",7.723809523809524,"21273.0, 23009.0"
6,"OUVIÑA PICOS, NADIUSKA, RAMOS MÍGUEZ, LEYRE",7.723809523809524,"21273.0, 23098.0"
7,"OUVIÑA PICOS, NADIUSKA, TUBÍO CADAVAL, UXIA",7.723809523809524,"21273.0, 23190.0"
8,"OUVIÑA PICOS, NADIUSKA, BARREIRO CASTRO, UXIA",7.723809523809524,"21273.0, 23393.0"
9,"VILARNOVO SUÁREZ, NOELIA, PÉREZ LORENZO, CELIA",7.6761904761904765,"21862.0, 22584.0"
10,"VILARNOVO SUÁREZ, NOELIA, OZORES CHOUZA, LARA",7.390476190476191,"21862.0, 23009.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"ALVAREZ PAZOS, MARIA, RODRIGUEZ RODRIGUEZ, NINA",12.0,"20850.0, 21003.0"
2,"ALVAREZ PAZOS, MARIA, BLANCO ROUCO, CARMEN",12.0,"20850.0, 21038.0"
3,"RODRIGUEZ RODRIGUEZ, NINA, BLANCO ROUCO, CARMEN",12.0,"21003.0, 21038.0"
4,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",11.8,"20850.0, 21515.0"
5,"RODRIGUEZ RODRIGUEZ, NINA, GONZALEZ GONZALEZ, IARA",11.8,"21003.0, 21515.0"
6,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",11.8,"21038.0, 21515.0"
7,"ALVAREZ PAZOS, MARIA, NUÑEZ PARDO, LAURA",10.82857142857143,"20850.0, 22154.0"
8,"ALVAREZ PAZOS, MARIA, TEIJEIRO SABORIDO, CAYETANA",10.82857142857143,"20850.0, 22267.0"
9,"ALVAREZ PAZOS, MARIA, PARDAVILA DAVILA, AINOA",10.82857142857143,"20850.0, 22326.0"
10,"ALVAREZ PAZOS, MARIA, PEREIRA-BORRAJO VAYO, MARTA",10.82857142857143,"20850.0, 22340.0"
