Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",21906,"ARIAS FRANCO, ODEI",21919,6.2,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
2,"CONDE VARELA, DAVID",21906,"PONTON RODRIGUEZ, JUAN",22565,5.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
3,"ARIAS FRANCO, ODEI",21919,"PONTON RODRIGUEZ, JUAN",22565,5.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
4,"CONDE VARELA, DAVID",21906,"PONTON RODRIGUEZ, JAVIER",22895,5.0,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
5,"ARIAS FRANCO, ODEI",21919,"PONTON RODRIGUEZ, JAVIER",22895,5.0,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
6,"CONDE VARELA, DAVID",21906,"REGUEIRA MOURE, ANDER",25480,4.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
7,"ARIAS FRANCO, ODEI",21919,"REGUEIRA MOURE, ANDER",25480,4.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
8,"PONTON RODRIGUEZ, JUAN",22565,"PONTON RODRIGUEZ, JAVIER",22895,4.4,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
9,"PONTON RODRIGUEZ, JUAN",22565,"REGUEIRA MOURE, ANDER",25480,4.0,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
10,"PONTON RODRIGUEZ, JAVIER",22895,"REGUEIRA MOURE, ANDER",25480,3.4,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"DAVILA LUSTRES, MANUEL, TOME SANLES, MANUEL",12.0,"5954.0, 10519.0"
2,"DAVILA LUSTRES, MANUEL, PÉREZ LORENZO, MANUEL",12.0,"5954.0, 10649.0"
3,"DAVILA LUSTRES, MANUEL, NOVO BELLO, MANUEL",12.0,"5954.0, 10765.0"
4,"DAVILA LUSTRES, MANUEL, SANLÉS DIESTE, HUGO",12.0,"5954.0, 11041.0"
5,"DAVILA LUSTRES, MANUEL, BRIÓN SAMPEDRO, CARLOS",12.0,"5954.0, 11054.0"
6,"DAVILA LUSTRES, MANUEL, MAYO MAROÑAS, JACOBO",12.0,"5954.0, 11510.0"
7,"DAVILA LUSTRES, MANUEL, ABELLEIRA GÓMEZ, MIGUEL A.",12.0,"5954.0, 11534.0"
8,"DAVILA LUSTRES, MANUEL, GONZÁLEZ OJEA, ANGEL",12.0,"5954.0, 11946.0"
9,"DAVILA LUSTRES, MANUEL, BARCALA RIVEIRO, BRAIS",12.0,"5954.0, 12322.0"
10,"TOME SANLES, MANUEL, PÉREZ LORENZO, MANUEL",12.0,"10519.0, 10649.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"MENDEZ PUGA, MARIO, CASTRO GARCIA, PEDRO",7.0,"20957.0, 21515.0"
2,"MENDEZ PUGA, MARIO, PASTORIZA SANTACLARA, JORGE",6.2,"20957.0, 21972.0"
3,"MENDEZ PUGA, MARIO, BOUZA PADRON, ADRIAN",6.2,"20957.0, 22134.0"
4,"MENDEZ PUGA, MARIO, PIÑEIRO RODRIGUEZ, SAMUEL",6.2,"20957.0, 22198.0"
5,"CASTRO GARCIA, PEDRO, PASTORIZA SANTACLARA, JORGE",6.2,"21515.0, 21972.0"
6,"CASTRO GARCIA, PEDRO, BOUZA PADRON, ADRIAN",6.2,"21515.0, 22134.0"
7,"CASTRO GARCIA, PEDRO, PIÑEIRO RODRIGUEZ, SAMUEL",6.2,"21515.0, 22198.0"
8,"MENDEZ PUGA, MARIO, FIGUEROA FERNANDEZ, GABRIEL",5.8,"20957.0, 22612.0"
9,"MENDEZ PUGA, MARIO, ALONSO VIDAL, TEO",5.8,"20957.0, 22628.0"
10,"MENDEZ PUGA, MARIO, MASSO ROIG, MARTIN",5.8,"20957.0, 22660.0"
