Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GUDÍN PÉREZ, ANDREA",55412,"MARTINEZ MORAN, ESTHER",55852,5.2,0.0,5,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
2,"GUDÍN PÉREZ, ANDREA",55412,"ARIAS PACHECO, ELENA",55874,5.2,0.0,5,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
3,"MARTINEZ MORAN, ESTHER",55852,"ARIAS PACHECO, ELENA",55874,5.0,0.0,5,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
4,"CASTRO DE LA FUENTE, UXIA",60992,"GUDÍN PÉREZ, ANDREA",55412,4.2,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
5,"GUDÍN PÉREZ, ANDREA",55412,"LEDO ESCUDERO, MARA",60716,4.2,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
6,"GUDÍN PÉREZ, ANDREA",55412,"CASTRO DE LA FUENTE, ALLA",62123,4.2,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
7,"GUDÍN PÉREZ, ANDREA",55412,"GARCIA VAZQUEZ, MARTA",63195,4.2,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
8,"CASTRO DE LA FUENTE, UXIA",60992,"MARTINEZ MORAN, ESTHER",55852,4.0,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
9,"CASTRO DE LA FUENTE, UXIA",60992,"ARIAS PACHECO, ELENA",55874,4.0,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
10,"MARTINEZ MORAN, ESTHER",55852,"LEDO ESCUDERO, MARA",60716,4.0,0.0,4,"(('VILARNOVO SUÁREZ, NOELIA', 53325.0), ('OZORES CHOUZA, LARA', 60180.0))","(('ALVAREZ PAZOS, MARIA', 51744.0), ('GONZALEZ GONZALEZ, IARA', 53160.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"VILARNOVO SUÁREZ, NOELIA, OZORES CHOUZA, LARA",8.00952380952381,"53325.0, 60180.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",12.0,"51744.0, 53160.0"
2,"ALVAREZ PAZOS, MARIA, PIÑEIRO FERNANDEZ, ANTIA",12.0,"51744.0, 53279.0"
3,"GONZALEZ GONZALEZ, IARA, PIÑEIRO FERNANDEZ, ANTIA",12.0,"53160.0, 53279.0"
4,"ALVAREZ PAZOS, MARIA, VAZQUEZ NAVARRO, SYRA",11.0,"51744.0, 54004.0"
5,"ALVAREZ PAZOS, MARIA, NUÑEZ PARDO, LAURA",11.0,"51744.0, 54192.0"
6,"ALVAREZ PAZOS, MARIA, RODRIGUEZ VIEITEZ, ALEJANDRA",11.0,"51744.0, 54651.0"
7,"ALVAREZ PAZOS, MARIA, BLANCO ROUCO, CARMEN",11.0,"51744.0, 54678.0"
8,"ALVAREZ PAZOS, MARIA, GONZALEZ PIÑEIRO, LAURA",11.0,"51744.0, 54901.0"
9,"ALVAREZ PAZOS, MARIA, LORENZO ALFAGEME, SOFIA TERESA",11.0,"51744.0, 55107.0"
10,"GONZALEZ GONZALEZ, IARA, VAZQUEZ NAVARRO, SYRA",11.0,"53160.0, 54004.0"
