Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"RODRIGUEZ SANCHEZ, MIGUEL",43013.0,"CONDE VARELA, DAVID",43078.0,6.622222222222222,43.308641975308646,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
2,"RODRIGUEZ SANCHEZ, MIGUEL",43013.0,"VALCARCE DOMINGUEZ, PABLO",43312.0,6.4222222222222225,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
3,"RODRIGUEZ SANCHEZ, MIGUEL",43013.0,"PONTON RODRIGUEZ, JUAN",43438.0,6.4222222222222225,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
4,"CONDE VARELA, DAVID",43078.0,"VALCARCE DOMINGUEZ, PABLO",43312.0,6.4222222222222225,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
5,"CONDE VARELA, DAVID",43078.0,"PONTON RODRIGUEZ, JUAN",43438.0,6.4222222222222225,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
6,"RODRIGUEZ SANCHEZ, MIGUEL",43013.0,"PEREZ TIERRA, ISMAEL",43727.0,6.222222222222222,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
7,"CONDE VARELA, DAVID",43078.0,"PEREZ TIERRA, ISMAEL",43727.0,6.222222222222222,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
8,"VALCARCE DOMINGUEZ, PABLO",43312.0,"PONTON RODRIGUEZ, JUAN",43438.0,6.207407407407407,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
9,"VALCARCE DOMINGUEZ, PABLO",43312.0,"PEREZ TIERRA, ISMAEL",43727.0,6.007407407407407,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
10,"PONTON RODRIGUEZ, JUAN",43438.0,"PEREZ TIERRA, ISMAEL",43727.0,6.007407407407407,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"SANLÉS DIESTE, HUGO, LAGES BRION, ALEXANDRE",11.0,"40836.0, 41928.0"
2,"SANLÉS DIESTE, HUGO, PÉREZ LORENZO, MANUEL",11.0,"40836.0, 41972.0"
3,"SANLÉS DIESTE, HUGO, GONZALEZ MARIÑO, JORGE",10.8,"40836.0, 42394.0"
4,"LAGES BRION, ALEXANDRE, PÉREZ LORENZO, MANUEL",10.266666666666667,"41928.0, 41972.0"
5,"LAGES BRION, ALEXANDRE, GONZALEZ MARIÑO, JORGE",10.066666666666666,"41928.0, 42394.0"
6,"PÉREZ LORENZO, MANUEL, GONZALEZ MARIÑO, JORGE",10.066666666666666,"41972.0, 42394.0"
7,"SANLÉS DIESTE, HUGO, ABELLEIRA GÓMEZ, MIGUEL A.",9.2,"40836.0, 43641.0"
8,"SANLÉS DIESTE, HUGO, VALIÑO RODRIGUEZ, ALEJANDRO",9.0,"40836.0, 44184.0"
9,"SANLÉS DIESTE, HUGO, BARCALA RIVEIRO, BRAIS",8.6,"40836.0, 44710.0"
10,"SANLÉS DIESTE, HUGO, VILARNOVO SUÁREZ, NOELIA",8.6,"40836.0, 44722.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"MENDEZ PUGA, MARIO, MASSO ROIG, MARTIN",11.8,"35368.0, 41465.0"
2,"MENDEZ PUGA, MARIO, ALONSO VIDAL, TEO",11.8,"35368.0, 41806.0"
3,"MENDEZ PUGA, MARIO, PASTORIZA SANTACLARA, JORGE",11.4,"35368.0, 42006.0"
4,"MASSO ROIG, MARTIN, ALONSO VIDAL, TEO",11.4,"41465.0, 41806.0"
5,"MENDEZ PUGA, MARIO, GONZÁLEZ BORGES, DAVID",11.2,"35368.0, 42461.0"
6,"MENDEZ PUGA, MARIO, CASTRO GARCIA, PEDRO",11.2,"35368.0, 42570.0"
7,"MENDEZ PUGA, MARIO, FIGUEROA FERNANDEZ, GABRIEL",11.2,"35368.0, 42896.0"
8,"MASSO ROIG, MARTIN, PASTORIZA SANTACLARA, JORGE",11.0,"41465.0, 42006.0"
9,"ALONSO VIDAL, TEO, PASTORIZA SANTACLARA, JORGE",11.0,"41806.0, 42006.0"
10,"MENDEZ PUGA, MARIO, RODRIGUEZ VIEITEZ, HUGO",10.8,"35368.0, 43176.0"
