Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GUDÍN PÉREZ, ANDREA",3467,"ARIAS PACHECO, ELENA",3763,11.8,100.0,11,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
2,"GUDÍN PÉREZ, ANDREA",3467,"GARCIA VAZQUEZ, MARTA",4081,10.4,98.27160493827161,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
3,"GUDÍN PÉREZ, ANDREA",3467,"MARTINEZ MORAN, ESTHER",4161,10.2,98.27160493827161,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
4,"ARIAS PACHECO, ELENA",3763,"GARCIA VAZQUEZ, MARTA",4081,10.0,82.96296296296296,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
5,"ARIAS PACHECO, ELENA",3763,"MARTINEZ MORAN, ESTHER",4161,9.8,82.96296296296296,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
6,"GUDÍN PÉREZ, ANDREA",3467,"CASTRO DE LA FUENTE, UXIA",4282,9.2,90.37037037037037,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
7,"GUDÍN PÉREZ, ANDREA",3467,"VILA GONZALEZ, MARTINA",4404,9.0,90.37037037037037,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
8,"GUDÍN PÉREZ, ANDREA",3467,"CAPLEA, STELIANA MARIA",4428,9.0,90.37037037037037,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
9,"ARIAS PACHECO, ELENA",3763,"CASTRO DE LA FUENTE, UXIA",4282,8.8,76.04938271604938,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
10,"ARIAS PACHECO, ELENA",3763,"VILA GONZALEZ, MARTINA",4404,8.6,76.04938271604938,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"GARCIA GARAY, MACARENA, SÁNCHEZ TOJA, CANDELA",10.857142857142858,"3645.0, 3776.0"
2,"GARCIA GARAY, MACARENA, RAMOS MÍGUEZ, LEYRE",9.857142857142858,"3645.0, 4064.0"
3,"GARCIA GARAY, MACARENA, PÉREZ LORENZO, CELIA",9.571428571428571,"3645.0, 4142.0"
4,"SÁNCHEZ TOJA, CANDELA, RAMOS MÍGUEZ, LEYRE",9.333333333333334,"3776.0, 4064.0"
5,"SÁNCHEZ TOJA, CANDELA, PÉREZ LORENZO, CELIA",9.047619047619047,"3776.0, 4142.0"
6,"GARCIA GARAY, MACARENA, GUILLÁN DEIRA, ELSA",8.0,"3645.0, 4355.0"
7,"RAMOS MÍGUEZ, LEYRE, PÉREZ LORENZO, CELIA",7.677248677248677,"4064.0, 4142.0"
8,"SÁNCHEZ TOJA, CANDELA, GUILLÁN DEIRA, ELSA",7.476190476190476,"3776.0, 4355.0"
9,"GARCIA GARAY, MACARENA, GONZÁLEZ OJEA, CARMEN",7.428571428571429,"3645.0, 4438.0"
10,"GARCIA GARAY, MACARENA, OZORES CHOUZA, LARA",7.428571428571429,"3645.0, 4722.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"GONZALEZ PIÑEIRO, LAURA, GONZALEZ GONZALEZ, IARA",9.353439153439153,"3788.0, 3825.0"
2,"GONZALEZ PIÑEIRO, LAURA, ALVAREZ PAZOS, MARIA",9.353439153439153,"3788.0, 3899.0"
3,"GONZALEZ PIÑEIRO, LAURA, ARROJO DEAÑO, NAIARA",9.353439153439153,"3788.0, 3947.0"
4,"GONZALEZ PIÑEIRO, LAURA, PIÑEIRO FERNANDEZ, ANTIA",9.353439153439153,"3788.0, 3956.0"
5,"GONZALEZ GONZALEZ, IARA, ALVAREZ PAZOS, MARIA",9.353439153439153,"3825.0, 3899.0"
6,"GONZALEZ GONZALEZ, IARA, ARROJO DEAÑO, NAIARA",9.353439153439153,"3825.0, 3947.0"
7,"GONZALEZ GONZALEZ, IARA, PIÑEIRO FERNANDEZ, ANTIA",9.353439153439153,"3825.0, 3956.0"
8,"ALVAREZ PAZOS, MARIA, ARROJO DEAÑO, NAIARA",9.353439153439153,"3899.0, 3947.0"
9,"ALVAREZ PAZOS, MARIA, PIÑEIRO FERNANDEZ, ANTIA",9.353439153439153,"3899.0, 3956.0"
10,"ARROJO DEAÑO, NAIARA, PIÑEIRO FERNANDEZ, ANTIA",9.353439153439153,"3947.0, 3956.0"
