Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",3146,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,10.64,89.9753086419753,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
2,"CONDE VARELA, DAVID",3146,"PONTON RODRIGUEZ, JUAN",3364,10.04,83.4567901234568,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"PONTON RODRIGUEZ, JUAN",3364,9.697777777777778,83.4567901234568,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
4,"CONDE VARELA, DAVID",3146,"MARTINEZ ARGIZ, DAVID",3528,9.44,81.62962962962963,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
5,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"MARTINEZ ARGIZ, DAVID",3528,9.097777777777777,81.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
6,"CONDE VARELA, DAVID",3146,"REGUEIRA MOURE, ANDER",3978,8.24,78.2716049382716,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
7,"PONTON RODRIGUEZ, JUAN",3364,"MARTINEZ ARGIZ, DAVID",3528,8.177777777777777,80.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"REGUEIRA MOURE, ANDER",3978,7.897777777777778,76.74074074074075,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
9,"PONTON RODRIGUEZ, JUAN",3364,"REGUEIRA MOURE, ANDER",3978,6.977777777777778,70.37037037037037,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
10,"MARTINEZ ARGIZ, DAVID",3528,"REGUEIRA MOURE, ANDER",3978,6.262222222222222,45.925925925925924,3,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"PÉREZ LORENZO, MANUEL, ALVES RIVAS, CARLOS",9.8,"2911.0, 3483.0"
2,"PÉREZ LORENZO, MANUEL, TOME SANLES, MANUEL",9.8,"2911.0, 3495.0"
3,"PÉREZ LORENZO, MANUEL, CAROU VIDELA, MARCOS",8.4,"2911.0, 3783.0"
4,"PÉREZ LORENZO, MANUEL, MARTINEZ CAMPAÑA, MARIO",8.4,"2911.0, 3867.0"
5,"PÉREZ LORENZO, MANUEL, BARCALA RIVEIRO, BRAIS",8.0,"2911.0, 4009.0"
6,"PÉREZ LORENZO, MANUEL, ABELLEIRA GÓMEZ, MIGUEL A.",8.0,"2911.0, 4550.0"
7,"PÉREZ LORENZO, MANUEL, OZORES CHOUZA, DANIEL",8.0,"2911.0, 4956.0"
8,"PÉREZ LORENZO, MANUEL, MUÑIZ MATALOBOS, NICOLÁS",8.0,"2911.0, 5069.0"
9,"PÉREZ LORENZO, MANUEL, LORENZO GÓMEZ, ARES",8.0,"2911.0, 5284.0"
10,"ALVES RIVAS, CARLOS, TOME SANLES, MANUEL",6.622222222222222,"3483.0, 3495.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"GANDARA DIEZ, ADRIAN, BOUZA PADRON, ADRIAN",11.0,"3047.0, 3200.0"
2,"GANDARA DIEZ, ADRIAN, MENDEZ PUGA, MARIO",10.6,"3047.0, 3230.0"
3,"GANDARA DIEZ, ADRIAN, PASTORIZA SANTACLARA, JORGE",10.6,"3047.0, 3239.0"
4,"GANDARA DIEZ, ADRIAN, GONZALEZ PAVON, XIAN",10.6,"3047.0, 3323.0"
5,"BOUZA PADRON, ADRIAN, MENDEZ PUGA, MARIO",9.88,"3200.0, 3230.0"
6,"BOUZA PADRON, ADRIAN, PASTORIZA SANTACLARA, JORGE",9.88,"3200.0, 3239.0"
7,"BOUZA PADRON, ADRIAN, GONZALEZ PAVON, XIAN",9.88,"3200.0, 3323.0"
8,"GANDARA DIEZ, ADRIAN, ALONSO VIDAL, TEO",9.8,"3047.0, 3525.0"
9,"GANDARA DIEZ, ADRIAN, FIGUEROA FERNANDEZ, GABRIEL",9.4,"3047.0, 3650.0"
10,"GANDARA DIEZ, ADRIAN, GONZALEZ PAVON, XABIER",9.4,"3047.0, 3694.0"
