Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",3294,"GUDÍN PÉREZ, ANDREA",3493,8.490370370370371,69.1358024691358,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
2,"GONZALEZ BLANCO, PATRICIA",3294,"VILA GONZALEZ, MARTINA",3551,8.29037037037037,66.37037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
3,"GONZALEZ BLANCO, PATRICIA",3294,"CASTRO DE LA FUENTE, UXIA",3612,7.6903703703703705,62.22222222222222,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
4,"GONZALEZ BLANCO, PATRICIA",3294,"VARELA MENDEZ, CLARA",3636,7.6903703703703705,62.22222222222222,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
5,"GONZALEZ BLANCO, PATRICIA",3294,"PRATS MOREIRAS, XIMENA",3696,7.29037037037037,59.7037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
6,"GONZALEZ BLANCO, PATRICIA",3294,"GARCIA VAZQUEZ, MARTA",3698,7.29037037037037,59.7037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
7,"GONZALEZ BLANCO, PATRICIA",3294,"MARTINEZ MORAN, ESTHER",3720,7.29037037037037,59.7037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
8,"GUDÍN PÉREZ, ANDREA",3493,"VILA GONZALEZ, MARTINA",3551,7.262222222222222,54.962962962962955,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
9,"GUDÍN PÉREZ, ANDREA",3493,"CASTRO DE LA FUENTE, UXIA",3612,6.662222222222222,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
10,"GUDÍN PÉREZ, ANDREA",3493,"VARELA MENDEZ, CLARA",3636,6.662222222222222,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"GARCIA GARAY, MACARENA, OUVIÑA PICOS, NADIUSKA",11.4,"3181.0, 3230.0"
2,"GARCIA GARAY, MACARENA, PENSADO PARADA, SABELA",10.75,"3181.0, 3356.0"
3,"OUVIÑA PICOS, NADIUSKA, PENSADO PARADA, SABELA",10.75,"3230.0, 3356.0"
4,"GARCIA GARAY, MACARENA, VILARNOVO SUÁREZ, NOELIA",8.35,"3181.0, 3665.0"
5,"GARCIA GARAY, MACARENA, GONZÁLEZ OJEA, CARMEN",8.35,"3181.0, 3675.0"
6,"OUVIÑA PICOS, NADIUSKA, VILARNOVO SUÁREZ, NOELIA",8.35,"3230.0, 3665.0"
7,"OUVIÑA PICOS, NADIUSKA, GONZÁLEZ OJEA, CARMEN",8.35,"3230.0, 3675.0"
8,"GARCIA GARAY, MACARENA, BARREIRO CASTRO, UXIA",7.6,"3181.0, 3822.0"
9,"GARCIA GARAY, MACARENA, RAMOS MÍGUEZ, LEYRE",7.6,"3181.0, 3895.0"
10,"GARCIA GARAY, MACARENA, TUBÍO CADAVAL, UXIA",7.6,"3181.0, 3915.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"BLANCO ROUCO, CARMEN, RODRIGUEZ RODRIGUEZ, NINA",11.6,"3086.0, 3241.0"
2,"BLANCO ROUCO, CARMEN, ALVAREZ PAZOS, MARIA",11.6,"3086.0, 3287.0"
3,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",11.15,"3086.0, 3359.0"
4,"BLANCO ROUCO, CARMEN, PIÑEIRO FERNANDEZ, ANTIA",11.15,"3086.0, 3466.0"
5,"BLANCO ROUCO, CARMEN, LORENZO ALFAGEME, SOFIA TERESA",11.15,"3086.0, 3478.0"
6,"BLANCO ROUCO, CARMEN, NUÑEZ PARDO, LAURA",10.9,"3086.0, 3493.0"
7,"RODRIGUEZ RODRIGUEZ, NINA, ALVAREZ PAZOS, MARIA",10.822222222222223,"3241.0, 3287.0"
8,"BLANCO ROUCO, CARMEN, PARDAVILA DAVILA, AINOA",10.65,"3086.0, 3560.0"
9,"BLANCO ROUCO, CARMEN, RODRIGUEZ VIEITEZ, ALEJANDRA",10.65,"3086.0, 3600.0"
10,"BLANCO ROUCO, CARMEN, IGLESIAS ALLICA, MALENA",10.65,"3086.0, 3610.0"
