Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",2351.0,"PONTON RODRIGUEZ, JUAN",2463.0,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
2,"PONTON RODRIGUEZ, JAVIER",2351.0,"PEREZ TIERRA, ISMAEL",2496.0,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
3,"PONTON RODRIGUEZ, JUAN",2463.0,"PEREZ TIERRA, ISMAEL",2496.0,10.297777777777778,84.54320987654322,5,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
4,"PONTON RODRIGUEZ, JAVIER",2351.0,"BALLESTER IBAÑEZ, EDGAR",2593.0,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
5,"PONTON RODRIGUEZ, JAVIER",2351.0,"CONDE VARELA, DAVID",2598.0,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
6,"PONTON RODRIGUEZ, JAVIER",2351.0,"ARIAS FRANCO, ODEI",2611.0,9.4,88.44444444444444,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
7,"PONTON RODRIGUEZ, JAVIER",2351.0,"LOPEZ RODRIGUEZ, HUGO",2654.0,9.0,86.86419753086419,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
8,"PONTON RODRIGUEZ, JAVIER",2351.0,"VALCARCE DOMINGUEZ, PABLO",2706.0,8.8,86.86419753086419,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
9,"PONTON RODRIGUEZ, JUAN",2463.0,"BALLESTER IBAÑEZ, EDGAR",2593.0,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
10,"PONTON RODRIGUEZ, JUAN",2463.0,"CONDE VARELA, DAVID",2598.0,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"PÉREZ LORENZO, MANUEL, TOME SANLES, MANUEL",10.84,"2452.0, 2457.0"
2,"PÉREZ LORENZO, MANUEL, DAVILA LUSTRES, MANUEL",10.04,"2452.0, 2533.0"
3,"TOME SANLES, MANUEL, DAVILA LUSTRES, MANUEL",10.04,"2457.0, 2533.0"
4,"PÉREZ LORENZO, MANUEL, SANLÉS DIESTE, HUGO",9.84,"2452.0, 2555.0"
5,"TOME SANLES, MANUEL, SANLÉS DIESTE, HUGO",9.84,"2457.0, 2555.0"
6,"PÉREZ LORENZO, MANUEL, BRIÓN SAMPEDRO, CARLOS",9.64,"2452.0, 2592.0"
7,"TOME SANLES, MANUEL, BRIÓN SAMPEDRO, CARLOS",9.64,"2457.0, 2592.0"
8,"DAVILA LUSTRES, MANUEL, SANLÉS DIESTE, HUGO",8.617777777777778,"2533.0, 2555.0"
9,"DAVILA LUSTRES, MANUEL, BRIÓN SAMPEDRO, CARLOS",8.417777777777777,"2533.0, 2592.0"
10,"PÉREZ LORENZO, MANUEL, HERBON YAÑEZ, YAGO",8.24,"2452.0, 2625.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"ALONSO GATO, OSCAR, MENDEZ PUGA, MARIO",10.6,"2411.0, 2501.0"
2,"ALONSO GATO, OSCAR, PIÑEIRO RODRIGUEZ, SAMUEL",10.6,"2411.0, 2518.0"
3,"ALONSO GATO, OSCAR, RODRIGUEZ VIEITEZ, HUGO",10.4,"2411.0, 2550.0"
4,"ALONSO GATO, OSCAR, GANDARA DIEZ, ADRIAN",10.2,"2411.0, 2574.0"
5,"ALONSO GATO, OSCAR, BOUZA PADRON, ADRIAN",10.0,"2411.0, 2592.0"
6,"ALONSO GATO, OSCAR, ALONSO VIDAL, TEO",9.6,"2411.0, 2603.0"
7,"ALONSO GATO, OSCAR, PASTORIZA SANTACLARA, JORGE",9.6,"2411.0, 2604.0"
8,"ALONSO GATO, OSCAR, TELLA FERREIRO, MIGUEL",9.4,"2411.0, 2621.0"
9,"MENDEZ PUGA, MARIO, PIÑEIRO RODRIGUEZ, SAMUEL",9.29037037037037,"2501.0, 2518.0"
10,"MENDEZ PUGA, MARIO, RODRIGUEZ VIEITEZ, HUGO",9.09037037037037,"2501.0, 2550.0"
