Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",2793,"MARTINEZ MORAN, ESTHER",3016,8.973333333333333,87.1604938271605,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
2,"GONZALEZ BLANCO, PATRICIA",2793,"GUDÍN PÉREZ, ANDREA",3064,7.773333333333333,75.55555555555556,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
3,"GONZALEZ BLANCO, PATRICIA",2793,"ARIAS PACHECO, ELENA",3085,7.773333333333333,75.55555555555556,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
4,"GONZALEZ BLANCO, PATRICIA",2793,"CASTRO DE LA FUENTE, UXIA",3121,7.573333333333333,73.18518518518519,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
5,"GONZALEZ BLANCO, PATRICIA",2793,"VARELA MENDEZ, CLARA",3124,7.573333333333333,73.18518518518519,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
6,"GONZALEZ BLANCO, PATRICIA",2793,"PRATS MOREIRAS, XIMENA",3130,7.573333333333333,73.18518518518519,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
7,"MARTINEZ MORAN, ESTHER",3016,"GUDÍN PÉREZ, ANDREA",3064,6.703703703703703,46.666666666666664,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
8,"MARTINEZ MORAN, ESTHER",3016,"ARIAS PACHECO, ELENA",3085,6.703703703703703,46.666666666666664,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
9,"MARTINEZ MORAN, ESTHER",3016,"CASTRO DE LA FUENTE, UXIA",3121,6.503703703703704,46.17283950617284,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
10,"MARTINEZ MORAN, ESTHER",3016,"VARELA MENDEZ, CLARA",3124,6.503703703703704,46.17283950617284,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"OUVIÑA PICOS, NADIUSKA, GARCIA GARAY, MACARENA",9.980952380952381,"2772.0, 2829.0"
2,"OUVIÑA PICOS, NADIUSKA, SÁNCHEZ TOJA, CANDELA",9.780952380952382,"2772.0, 2953.0"
3,"GARCIA GARAY, MACARENA, SÁNCHEZ TOJA, CANDELA",9.361904761904762,"2829.0, 2953.0"
4,"OUVIÑA PICOS, NADIUSKA, VILARNOVO SUÁREZ, NOELIA",8.295238095238096,"2772.0, 3061.0"
5,"GARCIA GARAY, MACARENA, VILARNOVO SUÁREZ, NOELIA",7.876190476190477,"2829.0, 3061.0"
6,"OUVIÑA PICOS, NADIUSKA, PÉREZ LORENZO, CELIA",7.723809523809524,"2772.0, 3091.0"
7,"SÁNCHEZ TOJA, CANDELA, VILARNOVO SUÁREZ, NOELIA",7.580952380952381,"2953.0, 3061.0"
8,"GARCIA GARAY, MACARENA, PÉREZ LORENZO, CELIA",7.304761904761905,"2829.0, 3091.0"
9,"SÁNCHEZ TOJA, CANDELA, PÉREZ LORENZO, CELIA",7.0095238095238095,"2953.0, 3091.0"
10,"OUVIÑA PICOS, NADIUSKA, OZORES CHOUZA, LARA",6.866666666666666,"2772.0, 3131.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"ALVAREZ PAZOS, MARIA, BLANCO ROUCO, CARMEN",12.0,"2730.0, 2747.0"
2,"ALVAREZ PAZOS, MARIA, RODRIGUEZ RODRIGUEZ, NINA",12.0,"2730.0, 2753.0"
3,"BLANCO ROUCO, CARMEN, RODRIGUEZ RODRIGUEZ, NINA",12.0,"2747.0, 2753.0"
4,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",11.314285714285715,"2730.0, 2899.0"
5,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",11.314285714285715,"2747.0, 2899.0"
6,"RODRIGUEZ RODRIGUEZ, NINA, GONZALEZ GONZALEZ, IARA",11.314285714285715,"2753.0, 2899.0"
7,"ALVAREZ PAZOS, MARIA, IGLESIAS ALLICA, MALENA",11.114285714285714,"2730.0, 2971.0"
8,"BLANCO ROUCO, CARMEN, IGLESIAS ALLICA, MALENA",11.114285714285714,"2747.0, 2971.0"
9,"RODRIGUEZ RODRIGUEZ, NINA, IGLESIAS ALLICA, MALENA",11.114285714285714,"2753.0, 2971.0"
10,"ALVAREZ PAZOS, MARIA, TEIJEIRO SABORIDO, CAYETANA",10.82857142857143,"2730.0, 3029.0"
