Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"LEDO ESCUDERO, MARA",102187,"MARTINEZ MORAN, ESTHER",104053,4.82,16.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
2,"LEDO ESCUDERO, MARA",102187,"GUDÍN PÉREZ, ANDREA",105689,4.82,16.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
3,"LEDO ESCUDERO, MARA",102187,"CASTRO DE LA FUENTE, UXIA",111311,4.82,16.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
4,"LEDO ESCUDERO, MARA",102187,"ENRIQUEZ BUJAN, CANDELA",135870,4.82,16.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
5,"MARTINEZ MORAN, ESTHER",104053,"GUDÍN PÉREZ, ANDREA",105689,3.0,0.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
6,"MARTINEZ MORAN, ESTHER",104053,"CASTRO DE LA FUENTE, UXIA",111311,3.0,0.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
7,"MARTINEZ MORAN, ESTHER",104053,"ENRIQUEZ BUJAN, CANDELA",135870,3.0,0.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
8,"GUDÍN PÉREZ, ANDREA",105689,"CASTRO DE LA FUENTE, UXIA",111311,3.0,0.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
9,"GUDÍN PÉREZ, ANDREA",105689,"ENRIQUEZ BUJAN, CANDELA",135870,3.0,0.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
10,"CASTRO DE LA FUENTE, UXIA",111311,"ENRIQUEZ BUJAN, CANDELA",135870,3.0,0.0,3,"(('VILARNOVO SUÁREZ, NOELIA', 94450.0), ('OUVIÑA PICOS, NADIUSKA', 100928.0))","(('BLANCO ROUCO, CARMEN', 92610.0), ('ALVAREZ PAZOS, MARIA', 92701.0))"
Combinación,BOIRO,Puntuación media,Tiempos
1,"VILARNOVO SUÁREZ, NOELIA, OUVIÑA PICOS, NADIUSKA",9.666666666666666,"94450.0, 100928.0"
2,"VILARNOVO SUÁREZ, NOELIA, RAMOS MÍGUEZ, LEYRE",8.466666666666667,"94450.0, 102899.0"
3,"VILARNOVO SUÁREZ, NOELIA, TUBÍO CADAVAL, UXIA",8.466666666666667,"94450.0, 103271.0"
4,"VILARNOVO SUÁREZ, NOELIA, SÁNCHEZ TOJA, CANDELA",8.466666666666667,"94450.0, 103597.0"
5,"OUVIÑA PICOS, NADIUSKA, RAMOS MÍGUEZ, LEYRE",7.533333333333333,"100928.0, 102899.0"
6,"OUVIÑA PICOS, NADIUSKA, TUBÍO CADAVAL, UXIA",7.533333333333333,"100928.0, 103271.0"
7,"OUVIÑA PICOS, NADIUSKA, SÁNCHEZ TOJA, CANDELA",7.533333333333333,"100928.0, 103597.0"
8,"RAMOS MÍGUEZ, LEYRE, TUBÍO CADAVAL, UXIA",6.2,"102899.0, 103271.0"
9,"RAMOS MÍGUEZ, LEYRE, SÁNCHEZ TOJA, CANDELA",6.2,"102899.0, 103597.0"
10,"TUBÍO CADAVAL, UXIA, SÁNCHEZ TOJA, CANDELA",6.2,"103271.0, 103597.0"
Combinación,RIAS,Puntuación media,Tiempos
1,"BLANCO ROUCO, CARMEN, ALVAREZ PAZOS, MARIA",12.0,"92610.0, 92701.0"
2,"BLANCO ROUCO, CARMEN, GONZALEZ GONZALEZ, IARA",12.0,"92610.0, 93788.0"
3,"ALVAREZ PAZOS, MARIA, GONZALEZ GONZALEZ, IARA",12.0,"92701.0, 93788.0"
4,"BLANCO ROUCO, CARMEN, PIÑEIRO FERNANDEZ, ANTIA",11.6,"92610.0, 95992.0"
5,"BLANCO ROUCO, CARMEN, PARDAVILA DAVILA, AINOA",11.6,"92610.0, 100370.0"
6,"BLANCO ROUCO, CARMEN, NUÑEZ PARDO, LAURA",11.6,"92610.0, 100501.0"
7,"ALVAREZ PAZOS, MARIA, PIÑEIRO FERNANDEZ, ANTIA",11.6,"92701.0, 95992.0"
8,"ALVAREZ PAZOS, MARIA, PARDAVILA DAVILA, AINOA",11.6,"92701.0, 100370.0"
9,"ALVAREZ PAZOS, MARIA, NUÑEZ PARDO, LAURA",11.6,"92701.0, 100501.0"
10,"GONZALEZ GONZALEZ, IARA, PIÑEIRO FERNANDEZ, ANTIA",11.6,"93788.0, 95992.0"
