50_Libres_fem
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",2793,"MARTINEZ MORAN, ESTHER",3016,8.973333333333333,87.1604938271605,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
2,"GONZALEZ BLANCO, PATRICIA",2793,"GUDÍN PÉREZ, ANDREA",3064,7.773333333333333,75.55555555555556,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
3,"GONZALEZ BLANCO, PATRICIA",2793,"ARIAS PACHECO, ELENA",3085,7.773333333333333,75.55555555555556,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
4,"GONZALEZ BLANCO, PATRICIA",2793,"CASTRO DE LA FUENTE, UXIA",3121,7.573333333333333,73.18518518518519,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
5,"GONZALEZ BLANCO, PATRICIA",2793,"VARELA MENDEZ, CLARA",3124,7.573333333333333,73.18518518518519,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
6,"GONZALEZ BLANCO, PATRICIA",2793,"PRATS MOREIRAS, XIMENA",3130,7.573333333333333,73.18518518518519,4,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
7,"MARTINEZ MORAN, ESTHER",3016,"GUDÍN PÉREZ, ANDREA",3064,6.703703703703703,46.666666666666664,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
8,"MARTINEZ MORAN, ESTHER",3016,"ARIAS PACHECO, ELENA",3085,6.703703703703703,46.666666666666664,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
9,"MARTINEZ MORAN, ESTHER",3016,"CASTRO DE LA FUENTE, UXIA",3121,6.503703703703704,46.17283950617284,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
10,"MARTINEZ MORAN, ESTHER",3016,"VARELA MENDEZ, CLARA",3124,6.503703703703704,46.17283950617284,3,"(('OUVIÑA PICOS, NADIUSKA', 2772.0), ('GARCIA GARAY, MACARENA', 2829.0))","(('ALVAREZ PAZOS, MARIA', 2730.0), ('BLANCO ROUCO, CARMEN', 2747.0))"
