Nombre,Tiempo,Equipo,Prueba
"GUDÍN PÉREZ, ANDREA",55412,MOLEMOS,400_estilos_fem
"LEDO ESCUDERO, MARA",63642,MOLEMOS,400_estilos_fem
"LOPEZ FRANCO, NAHIA",73153,MOLEMOS,400_estilos_fem
"VILARNOVO SUÁREZ, NOELIA",53325,BOIRO,400_estilos_fem
"OZORES CHOUZA, LARA",60180,BOIRO,400_estilos_fem
"TUBÍO SUEIRO, RITA",62211,BOIRO,400_estilos_fem
"ALVAREZ PAZOS, MARIA",51744,RIAS,400_estilos_fem
"PIÑEIRO FERNANDEZ, ANTIA",53279,RIAS,400_estilos_fem
"GONZALEZ GONZALEZ, IARA",54184,RIAS,400_estilos_fem
"NUÑEZ PARDO, LAURA",54192,RIAS,400_estilos_fem
"BLANCO ROUCO, CARMEN",54678,RIAS,400_estilos_fem
"LORENZO ALFAGEME, SOFIA TERESA",55390,RIAS,400_estilos_fem
"GIRALDEZ MARTINEZ, NEREA",60490,RIAS,400_estilos_fem
"LOPEZ ALVAREZ, PAULA",61159,RIAS,400_estilos_fem
"MARTINEZ GARCIA, UXIA",61837,RIAS,400_estilos_fem
"PARDAVILA DAVILA, AINOA",62270,RIAS,400_estilos_fem
