Nombre,Tiempo,Equipo,Prueba
"LEDO ESCUDERO, MARA",102187,MOLEMOS,800_Libres_fem
"MARTINEZ MORAN, ESTHER",104053,MOLEMOS,800_Libres_fem
"GUDÍN PÉREZ, ANDREA",105689,MOLEMOS,800_Libres_fem
"PRATS MOREIRAS, XIMENA",105723,MOLEMOS,800_Libres_fem
"GARCIA SANCHEZ, ISABEL",105969,MOLEMOS,800_Libres_fem
"CASTRO DE LA FUENTE, UXIA",111311,MOLEMOS,800_Libres_fem
"RODRIGUEZ SOUTO, ALBA",125437,MOLEMOS,800_Libres_fem
"ENRIQUEZ BUJAN, CANDELA",135870,MOLEMOS,800_Libres_fem
"VILARNOVO SUÁREZ, NOELIA",94450,BOIRO,800_Libres_fem
"OUVIÑA PICOS, NADIUSKA",100928,BOIRO,800_Libres_fem
"RAMOS MÍGUEZ, LEYRE",102899,BOIRO,800_Libres_fem
"TUBÍO CADAVAL, UXIA",103271,BOIRO,800_Libres_fem
"SÁNCHEZ TOJA, CANDELA",103597,BOIRO,800_Libres_fem
"BLANCO ROUCO, CARMEN",92610,RIAS,800_Libres_fem
"ALVAREZ PAZOS, MARIA",92701,RIAS,800_Libres_fem
"GONZALEZ GONZALEZ, IARA",93788,RIAS,800_Libres_fem
"PIÑEIRO FERNANDEZ, ANTIA",95992,RIAS,800_Libres_fem
"PARDAVILA DAVILA, AINOA",100370,RIAS,800_Libres_fem
"NUÑEZ PARDO, LAURA",100501,RIAS,800_Libres_fem
"PINTOS DA ROCHA, CARLA",102066,RIAS,800_Libres_fem
"RODRIGUEZ VIEITEZ, ALEJANDRA",102334,RIAS,800_Libres_fem
"GONZALEZ PIÑEIRO, LAURA",102382,RIAS,800_Libres_fem
"ESTEVEZ BASTERO, EVA",102645,RIAS,800_Libres_fem
