Nombre,Tiempo,Equipo,Prueba
"GUDÍN PÉREZ, ANDREA",25002,MOLEMOS,200_Braza_fem
"ARIAS PACHECO, ELENA",30498,MOLEMOS,200_Braza_fem
"GARCIA VAZQUEZ, MARTA",30944,MOLEMOS,200_Braza_fem
"CAPLEA, STELIANA MARIA",31610,MOLEMOS,200_Braza_fem
"SÁNCHEZ TOJA, CANDELA",30306,BOIRO,200_Braza_fem
"PÉREZ LORENZO, CELIA",31002,BOIRO,200_Braza_fem
"RAMOS MÍGUEZ, LEYRE",31008,BOIRO,200_Braza_fem
"GUILLÁN DEIRA, ELSA",32277,BOIRO,200_Braza_fem
"TUBÍO CADAVAL, UXIA",33743,BOIRO,200_Braza_fem
"OZORES CHOUZA, LARA",34063,BOIRO,200_Braza_fem
"SILVA VICENTE, ANDREA HERMINIA",50322,BOIRO,200_Braza_fem
"GONZALEZ GONZALEZ, IARA",25437,RIAS,200_Braza_fem
"ALVAREZ PAZOS, MARIA",25504,RIAS,200_Braza_fem
"GONZALEZ PIÑEIRO, LAURA",25605,RIAS,200_Braza_fem
"PIÑEIRO FERNANDEZ, ANTIA",25988,RIAS,200_Braza_fem
"VAZQUEZ NAVARRO, SYRA",30297,RIAS,200_Braza_fem
"RODRIGUEZ RODRIGUEZ, NINA",30829,RIAS,200_Braza_fem
"MARTINEZ GARCIA, UXIA",30872,RIAS,200_Braza_fem
"FRANCO ACEA, UXIA",31005,RIAS,200_Braza_fem
"LORENZO ALFAGEME, SOFIA TERESA",31261,RIAS,200_Braza_fem
"ARROJO DEAÑO, NAIARA",31323,RIAS,200_Braza_fem
