Nombre,Tiempo,Equipo,Prueba
"CASTRO DE LA FUENTE, UXIA",24366,MOLEMOS,200_Mari_fem
"PRATS MOREIRAS, XIMENA",25880,MOLEMOS,200_Mari_fem
"GARCIA SANCHEZ, ISABEL",25971,MOLEMOS,200_Mari_fem
"SENRA RODRIGUEZ, LAURA",30047,MOLEMOS,200_Mari_fem
"ARIAS PACHECO, ELENA",31391,MOLEMOS,200_Mari_fem
"ENRIQUEZ BUJAN, CANDELA",32638,MOLEMOS,200_Mari_fem
"LEDO ESCUDERO, MARA",33446,MOLEMOS,200_Mari_fem
"MARTINEZ MORAN, ESTHER",35097,MOLEMOS,200_Mari_fem
"VILARNOVO SUÁREZ, NOELIA",23015,BOIRO,200_Mari_fem
"OZORES CHOUZA, LARA",24263,BOIRO,200_Mari_fem
"VAZQUEZ NAVARRO, SYRA",24189,RIAS,200_Mari_fem
"TEIJEIRO SABORIDO, CAYETANA",25329,RIAS,200_Mari_fem
"ESTEVEZ BASTERO, ANA",25515,RIAS,200_Mari_fem
"PIÑEIRO FERNANDEZ, ANTIA",30010,RIAS,200_Mari_fem
"LOPEZ ALVAREZ, PAULA",30322,RIAS,200_Mari_fem
"GONZALEZ GONZALEZ, IARA",30363,RIAS,200_Mari_fem
"LORENZO ALFAGEME, SOFIA TERESA",30479,RIAS,200_Mari_fem
"MARTINEZ GARCIA, UXIA",30498,RIAS,200_Mari_fem
"ARROJO DEAÑO, NAIARA",30883,RIAS,200_Mari_fem
"BLANCO ROUCO, CARMEN",30884,RIAS,200_Mari_fem
