Nombre,Tiempo,Equipo,Prueba
"CASTRO DE LA FUENTE, UXIA",60992,MOLEMOS,400_Estilos_fem
"GUDÍN PÉREZ, ANDREA",55412,MOLEMOS,400_Estilos_fem
"MARTINEZ MORAN, ESTHER",55852,MOLEMOS,400_Estilos_fem
"ARIAS PACHECO, ELENA",55874,MOLEMOS,400_Estilos_fem
"LEDO ESCUDERO, MARA",60716,MOLEMOS,400_Estilos_fem
"CASTRO DE LA FUENTE, ALLA",62123,MOLEMOS,400_Estilos_fem
"GARCIA VAZQUEZ, MARTA",63195,MOLEMOS,400_Estilos_fem
"VILARNOVO SUÁREZ, NOELIA",53325,BOIRO,400_Estilos_fem
"OZORES CHOUZA, LARA",60180,BOIRO,400_Estilos_fem
"ALVAREZ PAZOS, MARIA",51744,RIAS,400_Estilos_fem
"GONZALEZ GONZALEZ, IARA",53160,RIAS,400_Estilos_fem
"PIÑEIRO FERNANDEZ, ANTIA",53279,RIAS,400_Estilos_fem
"VAZQUEZ NAVARRO, SYRA",54004,RIAS,400_Estilos_fem
"NUÑEZ PARDO, LAURA",54192,RIAS,400_Estilos_fem
"RODRIGUEZ VIEITEZ, ALEJANDRA",54651,RIAS,400_Estilos_fem
"BLANCO ROUCO, CARMEN",54678,RIAS,400_Estilos_fem
"GONZALEZ PIÑEIRO, LAURA",54901,RIAS,400_Estilos_fem
"LORENZO ALFAGEME, SOFIA TERESA",55107,RIAS,400_Estilos_fem
"LOPEZ ALVAREZ, PAULA",55490,RIAS,400_Estilos_fem
