Nombre,Tiempo,Equipo,Prueba
"CONDE VARELA, DAVID",10865,MOLEMOS,100_Braza_masc
"MOURE DOVAL, JOSE",10941,MOLEMOS,100_Braza_masc
"PEREZ TIERRA, ISMAEL",11013,MOLEMOS,100_Braza_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",11013,MOLEMOS,100_Braza_masc
"ARGIZ MARTÍNEZ, DAVID",11934,MOLEMOS,100_Braza_masc
"PEREIRA MARTINEZ, NOEL",12176,MOLEMOS,100_Braza_masc
"PEREZ TIERRA, DANIEL",12445,MOLEMOS,100_Braza_masc
"PRATS MOREIRAS, MARTIN",12525,MOLEMOS,100_Braza_masc
"MARTINEZ MARINO, ANDRES",12800,MOLEMOS,100_Braza_masc
"REGUEIRA MOURE, ANDER",13000,MOLEMOS,100_Braza_masc
"ARIAS FRANCO, ODEI",5898,MOLEMOS,100_Espalda_masc
"PEREZ TIERRA, ISMAEL",5931,MOLEMOS,100_Espalda_masc
"VALCARCE DOMINGUEZ, PABLO",5992,MOLEMOS,100_Espalda_masc
"PONTON RODRIGUEZ, JAVIER",10207,MOLEMOS,100_Espalda_masc
"PONTON RODRIGUEZ, JUAN",10455,MOLEMOS,100_Espalda_masc
"CONDE VARELA, DAVID",10809,MOLEMOS,100_Espalda_masc
"LOPEZ RODRIGUEZ, HUGO",11618,MOLEMOS,100_Espalda_masc
"LOSADA TORRES, ISAAC",11710,MOLEMOS,100_Espalda_masc
"REGUEIRA MOURE, ANDER",11721,MOLEMOS,100_Espalda_masc
"PEREIRA MARTINEZ, NOEL",11777,MOLEMOS,100_Espalda_masc
"PONTON RODRIGUEZ, JAVIER",5176,MOLEMOS,100_Libre_masc
"MOURE DOVAL, JOSE",5182,MOLEMOS,100_Libre_masc
"BALLESTER IBAÑEZ, EDGAR",5536,MOLEMOS,100_Libre_masc
"PEREZ TIERRA, ISMAEL",5563,MOLEMOS,100_Libre_masc
"PONTON RODRIGUEZ, JUAN",5589,MOLEMOS,100_Libre_masc
"VALCARCE DOMINGUEZ, PABLO",5774,MOLEMOS,100_Libre_masc
"CONDE VARELA, DAVID",5780,MOLEMOS,100_Libre_masc
"LOPEZ RODRIGUEZ, HUGO",5864,MOLEMOS,100_Libre_masc
"ARIAS FRANCO, ODEI",5941,MOLEMOS,100_Libre_masc
"REGUEIRA MOURE, ANDER",10173,MOLEMOS,100_Libre_masc
"PONTON RODRIGUEZ, JAVIER",5867,MOLEMOS,100_Mariposa_masc
"PEREZ TIERRA, ISMAEL",10062,MOLEMOS,100_Mariposa_masc
"BALLESTER IBAÑEZ, EDGAR",10313,MOLEMOS,100_Mariposa_masc
"PONTON RODRIGUEZ, JUAN",10326,MOLEMOS,100_Mariposa_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",10367,MOLEMOS,100_Mariposa_masc
"ARIAS FRANCO, ODEI",10665,MOLEMOS,100_Mariposa_masc
"MARTINEZ MARINO, ANDRES",10930,MOLEMOS,100_Mariposa_masc
"CONDE VARELA, DAVID",11033,MOLEMOS,100_Mariposa_masc
"ARGIZ MARTÍNEZ, DAVID",11245,MOLEMOS,100_Mariposa_masc
"RODRIGUEZ SEOANE, IAGO",11801,MOLEMOS,100_Mariposa_masc
"MOURE DOVAL, JOSE",165948,MOLEMOS,1500_Libre_masc
"VALCARCE DOMINGUEZ, PABLO",174403,MOLEMOS,1500_Libre_masc
"CONDE VARELA, DAVID",184660,MOLEMOS,1500_Libre_masc
"PEREIRA MARTINEZ, NOEL",192604,MOLEMOS,1500_Libre_masc
"PONTON RODRIGUEZ, JAVIER",193723,MOLEMOS,1500_Libre_masc
"REGUEIRA MOURE, ANDER",203215,MOLEMOS,1500_Libre_masc
"BELTRAN DIAZ, EMILIO",214402,MOLEMOS,1500_Libre_masc
"LOSADA TORRES, ISAAC",223467,MOLEMOS,1500_Libre_masc
"MOURE DOVAL, JOSE",22755,MOLEMOS,200_Braza_masc
"CONDE VARELA, DAVID",23443,MOLEMOS,200_Braza_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",23957,MOLEMOS,200_Braza_masc
"ARGIZ MARTÍNEZ, DAVID",25669,MOLEMOS,200_Braza_masc
"PEREIRA MARTINEZ, NOEL",25900,MOLEMOS,200_Braza_masc
"PEREZ TIERRA, DANIEL",25976,MOLEMOS,200_Braza_masc
"PRATS MOREIRAS, MARTIN",30233,MOLEMOS,200_Braza_masc
"LOSADA TORRES, ISAAC",31428,MOLEMOS,200_Braza_masc
"RODRIGUEZ POMBO, MARTIN",32880,MOLEMOS,200_Braza_masc
"REGUEIRA MOURE, ANDER",33788,MOLEMOS,200_Braza_masc
"VALCARCE DOMINGUEZ, PABLO",20959,MOLEMOS,200_Espalda_masc
"ARIAS FRANCO, ODEI",21107,MOLEMOS,200_Espalda_masc
"CONDE VARELA, DAVID",21906,MOLEMOS,200_Espalda_masc
"PONTON RODRIGUEZ, JUAN",22492,MOLEMOS,200_Espalda_masc
"PONTON RODRIGUEZ, JAVIER",22895,MOLEMOS,200_Espalda_masc
"PEREIRA MARTINEZ, NOEL",24229,MOLEMOS,200_Espalda_masc
"LOSADA TORRES, ISAAC",24766,MOLEMOS,200_Espalda_masc
"REGUEIRA MOURE, ANDER",25033,MOLEMOS,200_Espalda_masc
"PEREZ TIERRA, ISMAEL",25121,MOLEMOS,200_Espalda_masc
"RODRIGUEZ SEOANE, IAGO",30220,MOLEMOS,200_Espalda_masc
"MOURE DOVAL, JOSE",20964,MOLEMOS,200_Estilos_masc
"VALCARCE DOMINGUEZ, PABLO",21178,MOLEMOS,200_Estilos_masc
"CONDE VARELA, DAVID",21491,MOLEMOS,200_Estilos_masc
"ARIAS FRANCO, ODEI",22234,MOLEMOS,200_Estilos_masc
"PONTON RODRIGUEZ, JAVIER",22406,MOLEMOS,200_Estilos_masc
"PEREZ TIERRA, ISMAEL",22657,MOLEMOS,200_Estilos_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",22802,MOLEMOS,200_Estilos_masc
"ARGIZ MARTÍNEZ, DAVID",23588,MOLEMOS,200_Estilos_masc
"PEREIRA MARTINEZ, NOEL",24341,MOLEMOS,200_Estilos_masc
"MARTINEZ MARINO, ANDRES",24538,MOLEMOS,200_Estilos_masc
"MOURE DOVAL, JOSE",15652,MOLEMOS,200_Libre_masc
"VALCARCE DOMINGUEZ, PABLO",20012,MOLEMOS,200_Libre_masc
"PONTON RODRIGUEZ, JAVIER",20038,MOLEMOS,200_Libre_masc
"BALLESTER IBAÑEZ, EDGAR",20565,MOLEMOS,200_Libre_masc
"ARIAS FRANCO, ODEI",20689,MOLEMOS,200_Libre_masc
"CONDE VARELA, DAVID",20973,MOLEMOS,200_Libre_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",21323,MOLEMOS,200_Libre_masc
"LOPEZ RODRIGUEZ, HUGO",21325,MOLEMOS,200_Libre_masc
"PONTON RODRIGUEZ, JUAN",21391,MOLEMOS,200_Libre_masc
"REGUEIRA MOURE, ANDER",21871,MOLEMOS,200_Libre_masc
"PONTON RODRIGUEZ, JUAN",22996,MOLEMOS,200_Mariposa_masc
"CONDE VARELA, DAVID",23370,MOLEMOS,200_Mariposa_masc
"ARIAS FRANCO, ODEI",23613,MOLEMOS,200_Mariposa_masc
"ARGIZ MARTÍNEZ, DAVID",24179,MOLEMOS,200_Mariposa_masc
"BELTRAN DIAZ, EMILIO",24582,MOLEMOS,200_Mariposa_masc
"PRATS MOREIRAS, MARTIN",25652,MOLEMOS,200_Mariposa_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",25809,MOLEMOS,200_Mariposa_masc
"PONTON RODRIGUEZ, JAVIER",30634,MOLEMOS,200_Mariposa_masc
"PEREIRA MARTINEZ, NOEL",31603,MOLEMOS,200_Mariposa_masc
"LOSADA TORRES, ISAAC",34333,MOLEMOS,200_Mariposa_masc
"CONDE VARELA, DAVID",50410,MOLEMOS,400_Estilos_masc
"ARIAS FRANCO, ODEI",51733,MOLEMOS,400_Estilos_masc
"ARGIZ MARTÍNEZ, DAVID",52887,MOLEMOS,400_Estilos_masc
"PEREIRA MARTINEZ, NOEL",54457,MOLEMOS,400_Estilos_masc
"REGUEIRA MOURE, ANDER",55828,MOLEMOS,400_Estilos_masc
"PRATS MOREIRAS, MARTIN",62319,MOLEMOS,400_Estilos_masc
"MOURE DOVAL, JOSE",41551,MOLEMOS,400_Libre_masc
"CONDE VARELA, DAVID",43078,MOLEMOS,400_Libre_masc
"VALCARCE DOMINGUEZ, PABLO",43312,MOLEMOS,400_Libre_masc
"PEREIRA MARTINEZ, NOEL",45829,MOLEMOS,400_Libre_masc
"LOPEZ RODRIGUEZ, HUGO",50224,MOLEMOS,400_Libre_masc
"REGUEIRA MOURE, ANDER",50285,MOLEMOS,400_Libre_masc
"PONTON RODRIGUEZ, JAVIER",51123,MOLEMOS,400_Libre_masc
"PONTON RODRIGUEZ, JUAN",51340,MOLEMOS,400_Libre_masc
"PRATS MOREIRAS, MARTIN",52778,MOLEMOS,400_Libre_masc
"BELTRAN DIAZ, EMILIO",53899,MOLEMOS,400_Libre_masc
"PEREZ TIERRA, ISMAEL",3134,MOLEMOS,50_Braza_masc
"CONDE VARELA, DAVID",3146,MOLEMOS,50_Braza_masc
"MOURE DOVAL, JOSE",3172,MOLEMOS,50_Braza_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",3175,MOLEMOS,50_Braza_masc
"PONTON RODRIGUEZ, JUAN",3499,MOLEMOS,50_Braza_masc
"ARGIZ MARTÍNEZ, DAVID",3528,MOLEMOS,50_Braza_masc
"PRATS MOREIRAS, MARTIN",3657,MOLEMOS,50_Braza_masc
"PEREZ TIERRA, DANIEL",3847,MOLEMOS,50_Braza_masc
"REGUEIRA MOURE, ANDER",3978,MOLEMOS,50_Braza_masc
"PEREIRA MARTINEZ, NOEL",3992,MOLEMOS,50_Braza_masc
"ARIAS FRANCO, ODEI",2659,MOLEMOS,50_Espalda_masc
"PONTON RODRIGUEZ, JAVIER",2704,MOLEMOS,50_Espalda_masc
"PEREZ TIERRA, ISMAEL",2722,MOLEMOS,50_Espalda_masc
"VALCARCE DOMINGUEZ, PABLO",2762,MOLEMOS,50_Espalda_masc
"PONTON RODRIGUEZ, JUAN",2970,MOLEMOS,50_Espalda_masc
"CONDE VARELA, DAVID",3137,MOLEMOS,50_Espalda_masc
"BELTRAN DIAZ, EMILIO",3362,MOLEMOS,50_Espalda_masc
"PRATS MOREIRAS, MARTIN",3426,MOLEMOS,50_Espalda_masc
"PEREIRA MARTINEZ, NOEL",3509,MOLEMOS,50_Espalda_masc
"PEREZ ARMESTO, ALVARO",3515,MOLEMOS,50_Espalda_masc
"PONTON RODRIGUEZ, JAVIER",2351,MOLEMOS,50_Libre_masc
"MOURE DOVAL, JOSE",2410,MOLEMOS,50_Libre_masc
"PONTON RODRIGUEZ, JUAN",2476,MOLEMOS,50_Libre_masc
"BALLESTER IBAÑEZ, EDGAR",2509,MOLEMOS,50_Libre_masc
"PEREZ TIERRA, ISMAEL",2521,MOLEMOS,50_Libre_masc
"CONDE VARELA, DAVID",2598,MOLEMOS,50_Libre_masc
"ARIAS FRANCO, ODEI",2611,MOLEMOS,50_Libre_masc
"LOPEZ RODRIGUEZ, HUGO",2634,MOLEMOS,50_Libre_masc
"VALCARCE DOMINGUEZ, PABLO",2706,MOLEMOS,50_Libre_masc
"REGUEIRA MOURE, ANDER",2832,MOLEMOS,50_Libre_masc
