Nombre,Tiempo,Equipo,Prueba
"PONTON RODRIGUEZ, JAVIER",5176,MOLEMOS,100_Libre_masc
"PONTON RODRIGUEZ, JUAN",5517,MOLEMOS,100_Libre_masc
"BALLESTER IBAÑEZ, EDGAR",5536,MOLEMOS,100_Libre_masc
"PEREZ TIERRA, ISMAEL",5562,MOLEMOS,100_Libre_masc
"VALCARCE DOMINGUEZ, PABLO",5774,MOLEMOS,100_Libre_masc
"CONDE VARELA, DAVID",5881,MOLEMOS,100_Libre_masc
"RODRIGUEZ SANCHEZ, MIGUEL",5926,MOLEMOS,100_Libre_masc
"ARIAS FRANCO, ODEI",5941,MOLEMOS,100_Libre_masc
"MARTINEZ MARINO, ANDRES",10198,MOLEMOS,100_Libre_masc
"GONZALEZ BLANCO, PATRICIA",10209,MOLEMOS,100_Libre_masc
"PÉREZ LORENZO, MANUEL",5325,BOIRO,100_Libre_masc
"SANLÉS DIESTE, HUGO",5404,BOIRO,100_Libre_masc
"DAVILA LUSTRES, MANUEL",5461,BOIRO,100_Libre_masc
"TOME SANLES, MANUEL",5552,BOIRO,100_Libre_masc
"HERBON YAÑEZ, YAGO",5672,BOIRO,100_Libre_masc
"BRIÓN SAMPEDRO, CARLOS",5749,BOIRO,100_Libre_masc
"LAGES BRION, ALEXANDRE",5765,BOIRO,100_Libre_masc
"VALIÑO RODRIGUEZ, ALEJANDRO",5968,BOIRO,100_Libre_masc
"GONZALEZ MARIÑO, JORGE",5990,BOIRO,100_Libre_masc
"ABELLEIRA GÓMEZ, MIGUEL A.",10012,BOIRO,100_Libre_masc
"MENDEZ PUGA, MARIO",5271,RIAS,100_Libre_masc
"ALONSO GATO, OSCAR",5505,RIAS,100_Libre_masc
"RODRIGUEZ VIEITEZ, HUGO",5611,RIAS,100_Libre_masc
"BOUZA PADRON, ADRIAN",5691,RIAS,100_Libre_masc
"ALONSO VIDAL, TEO",5732,RIAS,100_Libre_masc
"PIÑEIRO RODRIGUEZ, SAMUEL",5765,RIAS,100_Libre_masc
"MASSO ROIG, MARTIN",5788,RIAS,100_Libre_masc
"PASTORIZA SANTACLARA, JORGE",5837,RIAS,100_Libre_masc
"GONZALEZ PAVON, XIAN",5862,RIAS,100_Libre_masc
"ALVAREZ PAZOS, MARIA",5951,RIAS,100_Libre_masc
