Nombre,Tiempo,Equipo,Prueba
"CONDE VARELA, DAVID",10865,MOLEMOS,100_Braza_masc
"MOURE DOVAL, JOSE",10941,MOLEMOS,100_Braza_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",11013,MOLEMOS,100_Braza_masc
"PEREZ TIERRA, ISMAEL",11013,MOLEMOS,100_Braza_masc
"ARGIZ MARTÍNEZ, DAVID",11934,MOLEMOS,100_Braza_masc
"PEREIRA MARTINEZ, NOEL",12176,MOLEMOS,100_Braza_masc
"PEREZ TIERRA, DANIEL",12445,MOLEMOS,100_Braza_masc
"PRATS MOREIRAS, MARTIN",12525,MOLEMOS,100_Braza_masc
"MARTINEZ MARINO, ANDRES",12800,MOLEMOS,100_Braza_masc
"REGUEIRA MOURE, ANDER",13000,MOLEMOS,100_Braza_masc
"PARCERO AREOSO, XOEL",10520,CIDSANTI,100_Braza_masc
"MIGUEZ FEIJOO, SAMUEL",10909,CIDSANTI,100_Braza_masc
"QUINTAS MOSQUERA, MANUEL",11079,CIDSANTI,100_Braza_masc
"LUGO BLANCO, CARLOS",11123,CIDSANTI,100_Braza_masc
"MUNIN CANDAL, ALEX",11338,CIDSANTI,100_Braza_masc
"FRAGA VISOS, TEO",11384,CIDSANTI,100_Braza_masc
"MUNIN CANDAL, ERIC",11519,CIDSANTI,100_Braza_masc
"ORECHIA, AGUSTÍN",11878,CIDSANTI,100_Braza_masc
"QUIÑOY VEIGA, ALVARO",12349,CIDSANTI,100_Braza_masc
"PAZ RODRIGUEZ, PABLO",12423,CIDSANTI,100_Braza_masc
"GRAÑA DEL SOLAR, MIGUEL",10567,NTNARON,100_Braza_masc
"ALBES ALVARIÑO, DAVID",11147,NTNARON,100_Braza_masc
"GRACIA CARBAJO, MIGUEL",11175,NTNARON,100_Braza_masc
"FREIRE CORRAL, ROI",11477,NTNARON,100_Braza_masc
"GARCÍA CARRERAS, VICTOR",12557,NTNARON,100_Braza_masc
"MEIZOSO FERNANDEZ, DANIEL",12596,NTNARON,100_Braza_masc
"LORENZO LÓPEZ, TIAGO",12645,NTNARON,100_Braza_masc
"PAZ LOPEZ, BREOGAN",12809,NTNARON,100_Braza_masc
"PORTELA LEIRA, DAVID",13021,NTNARON,100_Braza_masc
"LÓPEZ EYTOR, SIMÓN",13169,NTNARON,100_Braza_masc
