Nombre,Tiempo,Equipo,Prueba
"PEREZ TIERRA, ISMAEL",5931,MOLEMOS,100_esp_masc
"ARIAS FRANCO, ODEI",5932,MOLEMOS,100_esp_masc
"VALCARCE DOMINGUEZ, PABLO",5992,MOLEMOS,100_esp_masc
"PONTON RODRIGUEZ, JUAN",10421,MOLEMOS,100_esp_masc
"PONTON RODRIGUEZ, JAVIER",10570,MOLEMOS,100_esp_masc
"CONDE VARELA, DAVID",10809,MOLEMOS,100_esp_masc
"MARTINEZ MARINO, ANDRES",10884,MOLEMOS,100_esp_masc
"REGUEIRA MOURE, ANDER",11721,MOLEMOS,100_esp_masc
"RODRIGUEZ SANCHEZ, MIGUEL",11746,MOLEMOS,100_esp_masc
"RODRIGUEZ DIAZ, DAVID",11850,MOLEMOS,100_esp_masc
"DAVILA LUSTRES, MANUEL",5954,BOIRO,100_esp_masc
"TOME SANLES, MANUEL",10519,BOIRO,100_esp_masc
"PÉREZ LORENZO, MANUEL",10649,BOIRO,100_esp_masc
"NOVO BELLO, MANUEL",10765,BOIRO,100_esp_masc
"SANLÉS DIESTE, HUGO",11041,BOIRO,100_esp_masc
"BRIÓN SAMPEDRO, CARLOS",11054,BOIRO,100_esp_masc
"MAYO MAROÑAS, JACOBO",11510,BOIRO,100_esp_masc
"ABELLEIRA GÓMEZ, MIGUEL A.",11534,BOIRO,100_esp_masc
"GONZÁLEZ OJEA, ANGEL",11946,BOIRO,100_esp_masc
"BARCALA RIVEIRO, BRAIS",12322,BOIRO,100_esp_masc
"MENDEZ PUGA, MARIO",10033,RIAS,100_esp_masc
"BOUZA PADRON, ADRIAN",10205,RIAS,100_esp_masc
"PIÑEIRO RODRIGUEZ, SAMUEL",10296,RIAS,100_esp_masc
"CASTRO GARCIA, PEDRO",10403,RIAS,100_esp_masc
"RODRIGUEZ VIEITEZ, HUGO",10545,RIAS,100_esp_masc
"PASTORIZA SANTACLARA, JORGE",10644,RIAS,100_esp_masc
"FIGUEROA FERNANDEZ, GABRIEL",10786,RIAS,100_esp_masc
"ALONSO VIDAL, TEO",10815,RIAS,100_esp_masc
"RODRIGUEZ JUSTO, MARTIN",11041,RIAS,100_esp_masc
"ANDRES BARBOSA, DANIEL",11053,RIAS,100_esp_masc
