Nombre,Tiempo,Equipo,Prueba
"PONTON RODRIGUEZ, JUAN",22996,MOLEMOS,200_Mariposa_masc
"CONDE VARELA, DAVID",23370,MOLEMOS,200_Mariposa_masc
"ARIAS FRANCO, ODEI",23613,MOLEMOS,200_Mariposa_masc
"ARGIZ MARTÍNEZ, DAVID",24179,MOLEMOS,200_Mariposa_masc
"BELTRAN DIAZ, EMILIO",24582,MOLEMOS,200_Mariposa_masc
"PRATS MOREIRAS, MARTIN",25652,MOLEMOS,200_Mariposa_masc
"SUAREZ FERNÁNDEZ, SANTIAGO",25809,MOLEMOS,200_Mariposa_masc
"PONTON RODRIGUEZ, JAVIER",30634,MOLEMOS,200_Mariposa_masc
"PEREIRA MARTINEZ, NOEL",31603,MOLEMOS,200_Mariposa_masc
"LOSADA TORRES, ISAAC",34333,MOLEMOS,200_Mariposa_masc
"ORECHIA, AGUSTÍN",21172,CIDSANTI,200_Mariposa_masc
"FRAGA VISOS, TEO",22430,CIDSANTI,200_Mariposa_masc
"LUGO BLANCO, CARLOS",22841,CIDSANTI,200_Mariposa_masc
"REY MUNIN, ALONSO",23758,CIDSANTI,200_Mariposa_masc
"PORTELA LEIRA, MIGUEL",23139,NTNARON,200_Mariposa_masc
"MEIZOSO FERNANDEZ, DANIEL",23577,NTNARON,200_Mariposa_masc
"AMENEDO MARTÍNEZ, ANDER",24147,NTNARON,200_Mariposa_masc
"OTERO LAMAS, ALEJANDRO",25743,NTNARON,200_Mariposa_masc
