Nombre,Tiempo,Equipo,Prueba
"CONDE VARELA, DAVID",50410,MOLEMOS,400_Estilos_masc
"ARIAS FRANCO, ODEI",51733,MOLEMOS,400_Estilos_masc
"ARGIZ MARTÍNEZ, DAVID",52887,MOLEMOS,400_Estilos_masc
"PEREIRA MARTINEZ, NOEL",54457,MOLEMOS,400_Estilos_masc
"REGUEIRA MOURE, ANDER",55828,MOLEMOS,400_Estilos_masc
"PRATS MOREIRAS, MARTIN",62319,MOLEMOS,400_Estilos_masc
"ORECHIA, AGUSTÍN",44201,CIDSANTI,400_Estilos_masc
"FRAGA VISOS, TEO",45636,CIDSANTI,400_Estilos_masc
"PARCERO AREOSO, XOEL",45838,CIDSANTI,400_Estilos_masc
"LUGO BLANCO, CARLOS",45900,CIDSANTI,400_Estilos_masc
"GUERRA SAAVEDRA, UXIO",52915,CIDSANTI,400_Estilos_masc
"RIBÓ MIGUEL, LUCAS",53116,CIDSANTI,400_Estilos_masc
"QUIÑOY VEIGA, ALVARO",53464,CIDSANTI,400_Estilos_masc
"REY MUNIN, ALONSO",53646,CIDSANTI,400_Estilos_masc
"MEIZOSO FERNANDEZ, DANIEL",50760,NTNARON,400_Estilos_masc
"ALBES ALVARIÑO, DAVID",51432,NTNARON,400_Estilos_masc
"PORTELA LEIRA, MIGUEL",52513,NTNARON,400_Estilos_masc
"PORTELA LEIRA, DAVID",53788,NTNARON,400_Estilos_masc
"OTERO LAMAS, ALEJANDRO",54617,NTNARON,400_Estilos_masc
"AMENEDO MARTÍNEZ, ANDER",60984,NTNARON,400_Estilos_masc
