Nombre,Tiempo,Equipo,Prueba
"ARIAS FRANCO, ODEI",2659,MOLEMOS,50_Espalda_masc
"PONTON RODRIGUEZ, JAVIER",2704,MOLEMOS,50_Espalda_masc
"PEREZ TIERRA, ISMAEL",2722,MOLEMOS,50_Espalda_masc
"VALCARCE DOMINGUEZ, PABLO",2762,MOLEMOS,50_Espalda_masc
"PONTON RODRIGUEZ, JUAN",2970,MOLEMOS,50_Espalda_masc
"CONDE VARELA, DAVID",3137,MOLEMOS,50_Espalda_masc
"BELTRAN DIAZ, EMILIO",3362,MOLEMOS,50_Espalda_masc
"PRATS MOREIRAS, MARTIN",3426,MOLEMOS,50_Espalda_masc
"PEREIRA MARTINEZ, NOEL",3509,MOLEMOS,50_Espalda_masc
"PEREZ ARMESTO, ALVARO",3515,MOLEMOS,50_Espalda_masc
"ORECHIA, AGUSTÍN",2625,CIDSANTI,50_Espalda_masc
"ARCE RODRIGUEZ, IGOR",2790,CIDSANTI,50_Espalda_masc
"COSTA PENA, ANDRES",2828,CIDSANTI,50_Espalda_masc
"ABUIN VILARIÑO, ANTON",2889,CIDSANTI,50_Espalda_masc
"REY MUNIN, TOMAS",2906,CIDSANTI,50_Espalda_masc
"LATA RIOS, DAVID",2925,CIDSANTI,50_Espalda_masc
"PASSARETTI PEREIRA, ALEJANDRO",2958,CIDSANTI,50_Espalda_masc
"SUAREZ RIPOLL, XIAN",2959,CIDSANTI,50_Espalda_masc
"FRAGA VISOS, TEO",3033,CIDSANTI,50_Espalda_masc
"MEIJIDE GIADAS, DIEGO",3064,CIDSANTI,50_Espalda_masc
"GRAÑA DEL SOLAR, MIGUEL",2922,NTNARON,50_Espalda_masc
"GRACIA CARBAJO, MIGUEL",2959,NTNARON,50_Espalda_masc
"FERREIRO CASTRO, BRUNO",3000,NTNARON,50_Espalda_masc
"MEIZOSO FERNANDEZ, DANIEL",3034,NTNARON,50_Espalda_masc
"HERMIDA RAMOS, RAUL",3208,NTNARON,50_Espalda_masc
"RODRIGUEZ COUCEIRO, DAVID",3485,NTNARON,50_Espalda_masc
"PORTELA LEIRA, MIGUEL",3520,NTNARON,50_Espalda_masc
"PORTELA LEIRA, DAVID",3526,NTNARON,50_Espalda_masc
"OTERO LAMAS, ALEJANDRO",3530,NTNARON,50_Espalda_masc
"GARCÍA CARRERAS, VICTOR",3550,NTNARON,50_Espalda_masc
