Nombre,Tiempo,Equipo,Prueba
"PONTON RODRIGUEZ, JAVIER",2351,MOLEMOS,50_Libre_masc
"PONTON RODRIGUEZ, JUAN",2463,MOLEMOS,50_Libre_masc
"BALLESTER IBAÑEZ, EDGAR",2593,MOLEMOS,50_Libre_masc
"CONDE VARELA, DAVID",2598,MOLEMOS,50_Libre_masc
"ARIAS FRANCO, ODEI",2611,MOLEMOS,50_Libre_masc
"LOPEZ RODRIGUEZ, HUGO",2654,MOLEMOS,50_Libre_masc
"PÉREZ LORENZO, MANUEL",2452,BOIRO,50_Libre_masc
"TOME SANLES, MANUEL",2457,BOIRO,50_Libre_masc
"DAVILA LUSTRES, MANUEL",2533,BOIRO,50_Libre_masc
"SANLÉS DIESTE, HUGO",2555,BOIRO,50_Libre_masc
"BRIÓN SAMPEDRO, CARLOS",2592,BOIRO,50_Libre_masc
"HERBON YAÑEZ, YAGO",2625,BOIRO,50_Libre_masc
"LAGES BRION, ALEXANDRE",2695,BOIRO,50_Libre_masc
"MAYO MAROÑAS, JACOBO",2751,BOIRO,50_Libre_masc
"GONZÁLEZ OJEA, ANGEL",2764,BOIRO,50_Libre_masc
"ABELLEIRA GÓMEZ, MIGUEL A.",2789,BOIRO,50_Libre_masc
"ALONSO GATO, OSCAR",2411,RIAS,50_Libre_masc
"MENDEZ PUGA, MARIO",2501,RIAS,50_Libre_masc
"PIÑEIRO RODRIGUEZ, SAMUEL",2518,RIAS,50_Libre_masc
"RODRIGUEZ VIEITEZ, HUGO",2550,RIAS,50_Libre_masc
"GANDARA DIEZ, ADRIAN",2574,RIAS,50_Libre_masc
"BOUZA PADRON, ADRIAN",2592,RIAS,50_Libre_masc
"ALONSO VIDAL, TEO",2603,RIAS,50_Libre_masc
"PASTORIZA SANTACLARA, JORGE",2604,RIAS,50_Libre_masc
"TELLA FERREIRO, MIGUEL",2621,RIAS,50_Libre_masc
"GONZALEZ PAVON, XIAN",2714,RIAS,50_Libre_masc
